dialogue_id,agent,opponent,gold_high,gold_med,gold_low,pred,belief_em,raw_response
96-3,agent_1,agent_2,Food,Not Given,Not Given,"{'high': 'food', 'medium': 'water', 'low': 'firewood'}",0,"{""high"": ""food"", ""medium"": ""water"", ""low"": ""firewood""}"
96-3,agent_2,agent_1,Water,Not Given,Not Given,"{'high': 'Water', 'medium': 'Food', 'low': 'Not Given'}",0,"{""high"": ""Water"", ""medium"": ""Food"", ""low"": ""Not Given""}"
72-4,agent_1,agent_2,Water,Food,Firewood,"{'high': 'firewood', 'medium': 'water', 'low': 'food'}",0,"{""high"": ""firewood"", ""medium"": ""water"", ""low"": ""food""}"
72-4,agent_2,agent_1,Firewood,Water,Food,"{'high': 'firewood', 'medium': 'water', 'low': 'food'}",1,"{""high"": ""firewood"", ""medium"": ""water"", ""low"": ""food""}"
590-1,agent_1,agent_2,Not Given,Not Given,Not Given,"{'high': 'Firewood', 'medium': 'Food', 'low': 'Water'}",0,"{""high"": ""Firewood"", ""medium"": ""Food"", ""low"": ""Water""}"
590-1,agent_2,agent_1,Firewood,Food,Water,"{'high': 'Firewood', 'medium': 'Food', 'low': 'Water'}",1,"{""high"": ""Firewood"", ""medium"": ""Food"", ""low"": ""Water""}"
61-8,agent_1,agent_2,None,None,None,"{'high': 'Food', 'medium': 'Water', 'low': 'Firewood'}",0,"{""high"": ""Food"", ""medium"": ""Water"", ""low"": ""Firewood""}"
61-8,agent_2,agent_1,Firewood,Water,Food,"{'high': 'Water', 'medium': 'Food', 'low': 'Firewood'}",0,"{""high"": ""Water"", ""medium"": ""Food"", ""low"": ""Firewood""}"
505-2,agent_1,agent_2,Water,Food,Firewood,"{'high': 'water', 'medium': 'food', 'low': 'firewood'}",1,"{""high"": ""water"", ""medium"": ""food"", ""low"": ""firewood""}"
505-2,agent_2,agent_1,Food,Water,Firewood,"{'high': 'Food', 'medium': 'Water', 'low': 'Firewood'}",1,"{""high"":""Food"",""medium"":""Water"",""low"":""Firewood""}"
22-3,agent_1,agent_2,Firewood,Food,Water,"{'high': 'Food', 'medium': 'Firewood', 'low': 'Water'}",0,"{""high"": ""Food"", ""medium"": ""Firewood"", ""low"": ""Water""}"
22-3,agent_2,agent_1,Food,Water,Firewood,"{'high': 'Food', 'medium': 'Firewood', 'low': 'Water'}",0,"{""high"": ""Food"", ""medium"": ""Firewood"", ""low"": ""Water""}"
21-1,agent_1,agent_2,Not Given,Not Given,Not Given,"{'high': 'Not Given', 'medium': 'Not Given', 'low': 'Not Given'}",1,"{""high"": ""Not Given"", ""medium"": ""Not Given"", ""low"": ""Not Given""}"
21-1,agent_2,agent_1,Food,Not Given,Not Given,"{'high': 'Not Given', 'medium': 'Food', 'low': 'Firewood'}",0,"{""high"": ""Not Given"", ""medium"": ""Food"", ""low"": ""Firewood""}"
66-3,agent_1,agent_2,Not Given,Not Given,Water,"{'high': 'Water', 'medium': 'Firewood', 'low': 'Food'}",0,"{""high"": ""Water"", ""medium"": ""Firewood"", ""low"": ""Food""}"
66-3,agent_2,agent_1,Water,Firewood,Food,"{'high': 'Water', 'medium': 'Food', 'low': 'Firewood'}",0,"{""high"": ""Water"", ""medium"": ""Food"", ""low"": ""Firewood""}"
149-2,agent_1,agent_2,Water,Food,Firewood,"{'high': 'water', 'medium': 'food', 'low': 'firewood'}",1,"{""high"": ""water"", ""medium"": ""food"", ""low"": ""firewood""}"
149-2,agent_2,agent_1,Water,Food,Firewood,"{'high': 'Water', 'medium': 'Food', 'low': 'Firewood'}",1,"{""high"": ""Water"", ""medium"": ""Food"", ""low"": ""Firewood""}"
158-5,agent_1,agent_2,Food,Water,Firewood,"{'high': 'water', 'medium': 'food', 'low': 'firewood'}",0,"{""high"": ""water"", ""medium"": ""food"", ""low"": ""firewood""}"
158-5,agent_2,agent_1,Food,Firewood,Water,"{'high': 'food', 'medium': 'water', 'low': 'firewood'}",0,"{""high"": ""food"", ""medium"": ""water"", ""low"": ""firewood""}"
561-4,agent_1,agent_2,Water,Food,Firewood,"{'high': 'Water', 'medium': 'Food', 'low': 'Firewood'}",1,"{""high"": ""Water"", ""medium"": ""Food"", ""low"": ""Firewood""}"
561-4,agent_2,agent_1,Firewood,Food,Water,"{'high': 'firewood', 'medium': 'food', 'low': 'water'}",1,"{""high"": ""firewood"", ""medium"": ""food"", ""low"": ""water""}"
19-0,agent_1,agent_2,Not Given,Not Given,Not Given,"{'high': 'Not Given', 'medium': 'Not Given', 'low': 'Not Given'}",1,"{""high"": ""Not Given"", ""medium"": ""Not Given"", ""low"": ""Not Given""}"
19-0,agent_2,agent_1,Not Given,Not Given,Not Given,"{'high': 'Not Given', 'medium': 'Not Given', 'low': 'Not Given'}",1,"{""high"": ""Not Given"", ""medium"": ""Not Given"", ""low"": ""Not Given""}"
601-2,agent_1,agent_2,Firewood,Not Given,Not Given,"{'high': 'firewood', 'medium': 'food', 'low': 'water'}",0,"{""high"": ""firewood"", ""medium"": ""food"", ""low"": ""water""}"
601-2,agent_2,agent_1,Not Given,Not Given,Water,"{'high': 'firewood', 'medium': 'food', 'low': 'water'}",0,"{""high"": ""firewood"", ""medium"": ""food"", ""low"": ""water""}"
136-3,agent_1,agent_2,Firewood,Food,Water,"{'high': 'firewood', 'medium': 'Not Given', 'low': 'water'}",0,"{""high"": ""firewood"", ""medium"": ""Not Given"", ""low"": ""water""}"
136-3,agent_2,agent_1,Water,Food,Firewood,"{'high': 'water', 'medium': 'food', 'low': 'firewood'}",1,"{""high"": ""water"", ""medium"": ""food"", ""low"": ""firewood""}"
590-0,agent_1,agent_2,Not Given,Not Given,Not Given,"{'high': 'Not Given', 'medium': 'Not Given', 'low': 'Not Given'}",1,"{""high"": ""Not Given"", ""medium"": ""Not Given"", ""low"": ""Not Given""}"
590-0,agent_2,agent_1,Not Given,Not Given,Not Given,"{'high': 'Not Given', 'medium': 'Not Given', 'low': 'Not Given'}",1,"{""high"": ""Not Given"", ""medium"": ""Not Given"", ""low"": ""Not Given""}"
503-3,agent_1,agent_2,Food,Firewood,Water,"{'high': 'Food', 'medium': 'Not Given', 'low': 'Water'}",0,"{""high"": ""Food"", ""medium"": ""Not Given"", ""low"": ""Water""}"
503-3,agent_2,agent_1,Water,Not Given,Not Given,"{'high': 'Water', 'medium': 'Food', 'low': 'Firewood'}",0,"{""high"": ""Water"", ""medium"": ""Food"", ""low"": ""Firewood""}"
150-4,agent_1,agent_2,Food,Water,Firewood,"{'high': 'Water', 'medium': 'Food', 'low': 'Firewood'}",0,"{""high"": ""Water"", ""medium"": ""Food"", ""low"": ""Firewood""}"
150-4,agent_2,agent_1,Water,Food,Firewood,"{'high': 'Water', 'medium': 'Food', 'low': 'Firewood'}",1,"{""high"": ""Water"", ""medium"": ""Food"", ""low"": ""Firewood""}"
524-2,agent_1,agent_2,Firewood,Food,Water,"{'high': 'Water', 'medium': 'Firewood', 'low': 'Food'}",0,"{""high"": ""Water"", ""medium"": ""Firewood"", ""low"": ""Food""}"
524-2,agent_2,agent_1,Water,Food,Firewood,"{'high': 'water', 'medium': 'food', 'low': 'firewood'}",1,"{""high"": ""water"", ""medium"": ""food"", ""low"": ""firewood""}"
191-1,agent_1,agent_2,Food,Not Given,Not Given,"{'high': 'Food', 'medium': 'Not Given', 'low': 'Firewood'}",0,"{""high"": ""Food"", ""medium"": ""Not Given"", ""low"": ""Firewood""}"
191-1,agent_2,agent_1,Firewood,Food,Water,"{'high': 'Firewood', 'medium': 'Food', 'low': 'Water'}",1,"{""high"": ""Firewood"", ""medium"": ""Food"", ""low"": ""Water""}"
4-4,agent_1,agent_2,Food,Firewood,Water,"{'high': 'Food', 'medium': 'Firewood', 'low': 'Water'}",1,"{""high"": ""Food"", ""medium"": ""Firewood"", ""low"": ""Water""}"
4-4,agent_2,agent_1,Food,Not Given,Not Given,"{'high': 'Food', 'medium': 'Firewood', 'low': 'Water'}",0,"{""high"": ""Food"", ""medium"": ""Firewood"", ""low"": ""Water""}"
109-2,agent_1,agent_2,Firewood,Food,Water,"{'high': 'Not Given', 'medium': 'Food', 'low': 'Firewood'}",0,"{""high"": ""Not Given"", ""medium"": ""Food"", ""low"": ""Firewood""}"
109-2,agent_2,agent_1,Water,Food,Firewood,"{'high': 'water', 'medium': 'food', 'low': 'firewood'}",1,"{""high"": ""water"", ""medium"": ""food"", ""low"": ""firewood""}"
505-5,agent_1,agent_2,Water,Food,Firewood,"{'high': 'water', 'medium': 'food', 'low': 'firewood'}",1,"{""high"": ""water"", ""medium"": ""food"", ""low"": ""firewood""}"
505-5,agent_2,agent_1,None,None,None,"{'high': 'food', 'medium': 'water', 'low': 'firewood'}",0,"{""high"": ""food"", ""medium"": ""water"", ""low"": ""firewood""}"
450-5,agent_1,agent_2,Food,Firewood,Water,"{'high': 'Food', 'medium': 'Water', 'low': 'Firewood'}",0,"{""high"": ""Food"", ""medium"": ""Water"", ""low"": ""Firewood""}"
450-5,agent_2,agent_1,Firewood,Food,Water,"{'high': 'firewood', 'medium': 'food', 'low': 'water'}",1,"{""high"": ""firewood"", ""medium"": ""food"", ""low"": ""water""}"
191-0,agent_1,agent_2,Food,Not Given,Not Given,"{'high': 'Food', 'medium': 'Not Given', 'low': 'Not Given'}",1,"{""high"": ""Food"", ""medium"": ""Not Given"", ""low"": ""Not Given""}"
191-0,agent_2,agent_1,Not Given,Not Given,Not Given,"{'high': 'Food', 'medium': 'Not Given', 'low': 'Not Given'}",0,"{""high"": ""Food"", ""medium"": ""Not Given"", ""low"": ""Not Given""}"
106-2,agent_1,agent_2,Food,Firewood,Water,"{'high': 'Food', 'medium': 'Firewood', 'low': 'Water'}",1,"{""high"": ""Food"", ""medium"": ""Firewood"", ""low"": ""Water""}"
106-2,agent_2,agent_1,Food,Firewood,Water,"{'high': 'Food', 'medium': 'Firewood', 'low': 'Water'}",1,"{""high"": ""Food"", ""medium"": ""Firewood"", ""low"": ""Water""}"
146-6,agent_1,agent_2,None,None,None,"{'high': 'water', 'medium': 'food', 'low': 'firewood'}",0,"{""high"": ""water"", ""medium"": ""food"", ""low"": ""firewood""}"
146-6,agent_2,agent_1,Food,Water,Firewood,"{'high': 'food', 'medium': 'water', 'low': 'firewood'}",1,"{""high"": ""food"", ""medium"": ""water"", ""low"": ""firewood""}"
448-1,agent_1,agent_2,Water,Firewood,Food,"{'high': 'water', 'medium': 'food', 'low': 'firewood'}",0,"{""high"": ""water"", ""medium"": ""food"", ""low"": ""firewood""}"
448-1,agent_2,agent_1,Food,Firewood,Water,"{'high': 'Food', 'medium': 'Water', 'low': 'Firewood'}",0,"{""high"": ""Food"", ""medium"": ""Water"", ""low"": ""Firewood""}"
72-3,agent_1,agent_2,Water,Food,Firewood,"{'high': 'firewood', 'medium': 'water', 'low': 'food'}",0,"{""high"": ""firewood"", ""medium"": ""water"", ""low"": ""food""}"
72-3,agent_2,agent_1,Firewood,Water,Food,"{'high': 'firewood', 'medium': 'water', 'low': 'food'}",1,"{""high"": ""firewood"", ""medium"": ""water"", ""low"": ""food""}"
65-4,agent_1,agent_2,Firewood,Not Given,Water,"{'high': 'food', 'medium': 'water', 'low': 'firewood'}",0,"{""high"": ""food"", ""medium"": ""water"", ""low"": ""firewood""}"
65-4,agent_2,agent_1,Not Given,Not Given,Water,"{'high': 'Food', 'medium': 'Water', 'low': 'Firewood'}",0,"{""high"": ""Food"", ""medium"": ""Water"", ""low"": ""Firewood""}"
477-4,agent_1,agent_2,Water,Not Given,Not Given,"{'high': 'water', 'medium': 'food', 'low': 'firewood'}",0,"{""high"": ""water"", ""medium"": ""food"", ""low"": ""firewood""}"
477-4,agent_2,agent_1,Water,Food,Firewood,"{'high': 'water', 'medium': 'food', 'low': 'firewood'}",1,"{""high"": ""water"", ""medium"": ""food"", ""low"": ""firewood""}"
68-5,agent_1,agent_2,Water,Food,Firewood,"{'high': 'water', 'medium': 'food', 'low': 'firewood'}",1,"{""high"": ""water"", ""medium"": ""food"", ""low"": ""firewood""}"
68-5,agent_2,agent_1,Food,Water,Firewood,"{'high': 'Food', 'medium': 'Water', 'low': 'Firewood'}",1,"{""high"": ""Food"", ""medium"": ""Water"", ""low"": ""Firewood""}"
463-3,agent_1,agent_2,Food,Firewood,Water,"{'high': 'Food', 'medium': 'Firewood', 'low': 'Water'}",1,"{""high"": ""Food"", ""medium"": ""Firewood"", ""low"": ""Water""}"
463-3,agent_2,agent_1,Water,Firewood,Food,"{'high': 'Water', 'medium': 'Food', 'low': 'Firewood'}",0,"{""high"": ""Water"", ""medium"": ""Food"", ""low"": ""Firewood""}"
452-4,agent_1,agent_2,Water,Not Given,Not Given,"{'high': 'Not Given', 'medium': 'Food', 'low': 'Water'}",0,"{""high"": ""Not Given"", ""medium"": ""Food"", ""low"": ""Water""}"
452-4,agent_2,agent_1,Water,Not Given,Not Given,"{'high': 'Water', 'medium': 'Firewood', 'low': 'Food'}",0,"{""high"": ""Water"", ""medium"": ""Firewood"", ""low"": ""Food""}"
181-0,agent_1,agent_2,Not Given,Not Given,Not Given,"{'high': 'Not Given', 'medium': 'Not Given', 'low': 'Not Given'}",1,"{""high"": ""Not Given"", ""medium"": ""Not Given"", ""low"": ""Not Given""}"
181-0,agent_2,agent_1,Not Given,Not Given,Not Given,"{'high': 'Not Given', 'medium': 'Not Given', 'low': 'Not Given'}",1,"{""high"":""Not Given"",""medium"":""Not Given"",""low"":""Not Given""}"
31-0,agent_1,agent_2,Not Given,Not Given,Not Given,"{'high': 'Water', 'medium': 'Not Given', 'low': 'Not Given'}",0,"{""high"": ""Water"", ""medium"": ""Not Given"", ""low"": ""Not Given""}"
31-0,agent_2,agent_1,Water,Not Given,Not Given,"{'high': 'Water', 'medium': 'Not Given', 'low': 'Not Given'}",1,"{""high"": ""Water"", ""medium"": ""Not Given"", ""low"": ""Not Given""}"
530-3,agent_1,agent_2,Water,Firewood,Food,"{'high': 'Water', 'medium': 'Firewood', 'low': 'Food'}",1,"{""high"": ""Water"", ""medium"": ""Firewood"", ""low"": ""Food""}"
530-3,agent_2,agent_1,Food,Water,Firewood,"{'high': 'Food', 'medium': 'Water', 'low': 'Firewood'}",1,"{""high"": ""Food"", ""medium"": ""Water"", ""low"": ""Firewood""}"
583-3,agent_1,agent_2,Firewood,Food,Water,"{'high': 'firewood', 'medium': 'food', 'low': 'water'}",1,"{""high"": ""firewood"", ""medium"": ""food"", ""low"": ""water""}"
583-3,agent_2,agent_1,Water,Food,Firewood,"{'high': 'water', 'medium': 'food', 'low': 'firewood'}",1,"{""high"": ""water"", ""medium"": ""food"", ""low"": ""firewood""}"
87-1,agent_1,agent_2,Not Given,Not Given,Not Given,"{'high': 'Food', 'medium': 'Not Given', 'low': 'Not Given'}",0,"{""high"": ""Food"", ""medium"": ""Not Given"", ""low"": ""Not Given""}"
87-1,agent_2,agent_1,Not Given,Not Given,Not Given,"{'high': 'Food', 'medium': 'Not Given', 'low': 'Not Given'}",0,"{""high"": ""Food"", ""medium"": ""Not Given"", ""low"": ""Not Given""}"
476-4,agent_1,agent_2,Firewood,Food,Water,"{'high': 'firewood', 'medium': 'water', 'low': 'food'}",0,"{""high"": ""firewood"", ""medium"": ""water"", ""low"": ""food""}"
476-4,agent_2,agent_1,Water,Firewood,Food,"{'high': 'Water', 'medium': 'Food', 'low': 'Firewood'}",0,"{""high"": ""Water"", ""medium"": ""Food"", ""low"": ""Firewood""}"
56-2,agent_1,agent_2,Water,Food,Firewood,"{'high': 'Water', 'medium': 'Food', 'low': 'Firewood'}",1,"{""high"": ""Water"", ""medium"": ""Food"", ""low"": ""Firewood""}"
56-2,agent_2,agent_1,Firewood,Not Given,Not Given,"{'high': 'Firewood', 'medium': 'Food', 'low': 'Water'}",0,"{""high"": ""Firewood"", ""medium"": ""Food"", ""low"": ""Water""}"
594-4,agent_1,agent_2,Food,Water,Firewood,"{'high': 'food', 'medium': 'water', 'low': 'firewood'}",1,"{""high"": ""food"", ""medium"": ""water"", ""low"": ""firewood""}"
594-4,agent_2,agent_1,Water,Firewood,Food,"{'high': 'Water', 'medium': 'Firewood', 'low': 'Food'}",1,"{""high"": ""Water"", ""medium"": ""Firewood"", ""low"": ""Food""}"
420-2,agent_1,agent_2,Food,Firewood,Water,"{'high': 'Water', 'medium': 'Food', 'low': 'Firewood'}",0,"{""high"": ""Water"", ""medium"": ""Food"", ""low"": ""Firewood""}"
420-2,agent_2,agent_1,Food,Water,Firewood,"{'high': 'Water', 'medium': 'Food', 'low': 'Firewood'}",0,"{""high"": ""Water"", ""medium"": ""Food"", ""low"": ""Firewood""}"
465-4,agent_1,agent_2,Firewood,Food,Water,"{'high': 'firewood', 'medium': 'food', 'low': 'water'}",1,"{""high"": ""firewood"", ""medium"": ""food"", ""low"": ""water""}"
465-4,agent_2,agent_1,Firewood,Water,Food,"{'high': 'Firewood', 'medium': 'Water', 'low': 'Food'}",1,"{""high"": ""Firewood"", ""medium"": ""Water"", ""low"": ""Food""}"
612-1,agent_1,agent_2,Not Given,Not Given,Not Given,"{'high': 'Water', 'medium': 'Food', 'low': 'Firewood'}",0,"{""high"": ""Water"", ""medium"": ""Food"", ""low"": ""Firewood""}"
612-1,agent_2,agent_1,Not Given,Not Given,Not Given,"{'high': 'Water', 'medium': 'Food', 'low': 'Firewood'}",0,"{""high"": ""Water"", ""medium"": ""Food"", ""low"": ""Firewood""}"
132-3,agent_1,agent_2,Food,Firewood,Water,"{'high': 'Not Given', 'medium': 'Food', 'low': 'Firewood'}",0,"{""high"": ""Not Given"", ""medium"": ""Food"", ""low"": ""Firewood""}"
132-3,agent_2,agent_1,Food,Water,Firewood,"{'high': 'Food', 'medium': 'Water', 'low': 'Firewood'}",1,"{""high"": ""Food"", ""medium"": ""Water"", ""low"": ""Firewood""}"
