uid,dialogue_id,utt_idx,target_utterance,gold_intent,gold_bitmask,pred_intents,pred_bitmask,raw_response
536-5_utt2_intention,536-5,2,"agent_1: Yes, thats all. I need 1/3 food, 2/3 water, and 2/3 firewood.",No-Intention,"[0, 0, 0, 0, 1, 0, 0, 0, 0]",['Describe-Need'],"[0, 0, 1, 0, 0, 0, 0, 0, 0]","{""intents"":[""Describe-Need""]}"
536-6_utt1_intention,536-6,1,agent_2: Still not convinced in any way that you need more items in total over me. Please clarify!,Callout-Fairness,"[0, 1, 0, 0, 0, 0, 0, 0, 0]",['Callout-Fairness'],"[0, 1, 0, 0, 0, 0, 0, 0, 0]","{""intents"":[""Callout-Fairness""]}"
536-6_utt2_intention,536-6,2,"agent_1: Food is what I prioritize much more than the others. If you want the majority of the others, I will need all the food.",Promote-Coordination,"[0, 0, 0, 0, 0, 0, 1, 0, 0]","['Describe-Need', 'Undermine-Requirements']","[0, 0, 1, 0, 0, 0, 0, 0, 1]","{""intents"":[""Describe-Need"",""Undermine-Requirements""]}"
536-7_utt1_intention,536-7,1,"agent_2: Ok, I'm willing to compromise to speed this up - I'll go with the original plan you've outlined, and I'll take 2/3 food, 1/3 water, and 1/3 firewood",Promote-Coordination,"[0, 0, 0, 0, 0, 0, 1, 0, 0]",['Promote-Coordination'],"[0, 0, 0, 0, 0, 0, 1, 0, 0]","{""intents"":[""Promote-Coordination""]}"
537-0_utt1_intention,537-0,1,agent_1: I need more food since I have a huge family. Can you give me all food i give you all water?,"Describe-Need,Promote-Coordination","[0, 0, 1, 0, 0, 0, 1, 0, 0]",['Describe-Need'],"[0, 0, 1, 0, 0, 0, 0, 0, 0]","{""intents"":[""Describe-Need""]}"
537-0_utt2_intention,537-0,2,agent_2: i need a little more food because i forgot that we where staying longer and i forgot some of my food. Can i give you 1 food package please? ,Describe-Need,"[0, 0, 1, 0, 0, 0, 0, 0, 0]",['Describe-Need'],"[0, 0, 1, 0, 0, 0, 0, 0, 0]","{""intents"":[""Describe-Need""]}"
537-1_utt1_intention,537-1,1,agent_1: Food is what I need most. I can not survive with less than 2 food,Callout-Fairness,"[0, 1, 0, 0, 0, 0, 0, 0, 0]",['Describe-Need'],"[0, 0, 1, 0, 0, 0, 0, 0, 0]","{""intents"":[""Describe-Need""]}"
537-1_utt2_intention,537-1,2,agent_2: i also need more food okay what if you give you 2 foods if you give me 2 firewoods?,Promote-Coordination,"[0, 0, 0, 0, 0, 0, 1, 0, 0]","['Describe-Need', 'Promote-Coordination']","[0, 0, 1, 0, 0, 0, 1, 0, 0]","{""intents"":[""Describe-Need"",""Promote-Coordination""]}"
537-2_utt1_intention,537-2,1,agent_1: that will be okay. then I take 2 water you take 1,No-Intention,"[0, 0, 0, 0, 1, 0, 0, 0, 0]",['Promote-Coordination'],"[0, 0, 0, 0, 0, 0, 1, 0, 0]","{""intents"":[""Promote-Coordination""]}"
537-2_utt2_intention,537-2,2,agent_2: i really need more food. are you sure that we cant do i get 2 foods and i can give you 2 firewoods and 2 water? what do you think?,No-Intention,"[0, 0, 0, 0, 1, 0, 0, 0, 0]","['Describe-Need', 'Promote-Coordination']","[0, 0, 1, 0, 0, 0, 1, 0, 0]","{""intents"":[""Describe-Need"",""Promote-Coordination""]}"
537-3_utt1_intention,537-3,1,agent_1: Sorry I can not do with less food,No-Intention,"[0, 0, 0, 0, 1, 0, 0, 0, 0]",['Describe-Need'],"[0, 0, 1, 0, 0, 0, 0, 0, 0]","{""intents"":[""Describe-Need""]}"
537-3_utt2_intention,537-3,2,agent_2: okay we can stick to you having 2 and i get 1 correct?,No-Intention,"[0, 0, 0, 0, 1, 0, 0, 0, 0]",['Promote-Coordination'],"[0, 0, 0, 0, 0, 0, 1, 0, 0]","{""intents"":[""Promote-Coordination""]}"
537-4_utt1_intention,537-4,1,agent_1: That  is correct,No-Intention,"[0, 0, 0, 0, 1, 0, 0, 0, 0]",['No-Intention'],"[0, 0, 0, 0, 1, 0, 0, 0, 0]","{""intents"":[""No-Intention""]}"
537-4_utt2_intention,537-4,2,agent_2: okay so just to be clear you get 2 foods and me 1. I get 2 firewood and you 1 and i get 2 water and you 1? Is that correct? do we have a deal?,No-Intention,"[0, 0, 0, 0, 1, 0, 0, 0, 0]",['Promote-Coordination'],"[0, 0, 0, 0, 0, 0, 1, 0, 0]","{""intents"":[""Promote-Coordination""]}"
537-5_utt1_intention,537-5,1,agent_1: On water I have not agreed. I will take 2 It will be fair☹️,Callout-Fairness,"[0, 1, 0, 0, 0, 0, 0, 0, 0]",['Callout-Fairness'],"[0, 1, 0, 0, 0, 0, 0, 0, 0]","{""intents"":[""Callout-Fairness""]}"
537-5_utt2_intention,537-5,2,agent_2: okay thats fine. Deal?,No-Intention,"[0, 0, 0, 0, 1, 0, 0, 0, 0]",['Promote-Coordination'],"[0, 0, 0, 0, 0, 0, 1, 0, 0]","{""intents"":[""Promote-Coordination""]}"
537-6_utt1_intention,537-6,1,agent_1: deal🙂,No-Intention,"[0, 0, 0, 0, 1, 0, 0, 0, 0]",['Promote-Coordination'],"[0, 0, 0, 0, 0, 0, 1, 0, 0]","{""intents"":[""Promote-Coordination""]}"
537-6_utt2_intention,537-6,2,agent_2: okay deal,No-Intention,"[0, 0, 0, 0, 1, 0, 0, 0, 0]",['Promote-Coordination'],"[0, 0, 0, 0, 0, 0, 1, 0, 0]","{""intents"":[""Promote-Coordination""]}"
538-0_utt1_intention,538-0,1,agent_1: Hello! How are you doing?,Build-Rapport,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",['Build-Rapport'],"[1, 0, 0, 0, 0, 0, 0, 0, 0]","{""intents"":[""Build-Rapport""]}"
538-0_utt2_intention,538-0,2,agent_2: I'm good. How about letting me get the 2 packages of firewood and 2 waters.,No-Intention,"[0, 0, 0, 0, 1, 0, 0, 0, 0]","['Build-Rapport', 'Describe-Need']","[1, 0, 1, 0, 0, 0, 0, 0, 0]","{""intents"":[""Build-Rapport"",""Describe-Need""]}"
538-1_utt1_intention,538-1,1,"agent_1: I kinda need some firewood too. I'm totally good with the water, tho. How about I give you 1 firewoods, and give you three waters?",No-Intention,"[0, 0, 0, 0, 1, 0, 0, 0, 0]","['Describe-Need', 'Promote-Coordination']","[0, 0, 1, 0, 0, 0, 1, 0, 0]","{""intents"":[""Describe-Need"",""Promote-Coordination""]}"
538-1_utt2_intention,538-1,2,agent_2: That sounds good but I need two foods please.,No-Intention,"[0, 0, 0, 0, 1, 0, 0, 0, 0]",['Describe-Need'],"[0, 0, 1, 0, 0, 0, 0, 0, 0]","{""intents"":[""Describe-Need""]}"
538-2_utt1_intention,538-2,1,agent_1: Hmm. :( How about I get 2 food and you get 1? That way it'll be slightly more equal,Callout-Fairness,"[0, 1, 0, 0, 0, 0, 0, 0, 0]","['Callout-Fairness', 'Promote-Coordination']","[0, 1, 0, 0, 0, 0, 1, 0, 0]","{""intents"":[""Callout-Fairness"",""Promote-Coordination""]}"
538-2_utt2_intention,538-2,2,agent_2: Since you are getting two firewoods I need two foods Let's deal on this.,Promote-Coordination,"[0, 0, 0, 0, 0, 0, 1, 0, 0]","['Callout-Fairness', 'Describe-Need', 'Promote-Coordination']","[0, 1, 1, 0, 0, 0, 1, 0, 0]","{""intents"":[""Callout-Fairness"",""Describe-Need"",""Promote-Coordination""]}"
538-3_utt1_intention,538-3,1,"agent_1: Ok. Then how about I get two waters. I need the food, too. I got four mouths to feed. ",Describe-Need,"[0, 0, 1, 0, 0, 0, 0, 0, 0]","['Callout-Fairness', 'Describe-Need']","[0, 1, 1, 0, 0, 0, 0, 0, 0]","{""intents"":[""Callout-Fairness"",""Describe-Need""]}"
538-3_utt2_intention,538-3,2,agent_2: You can have 1 water.,No-Intention,"[0, 0, 0, 0, 1, 0, 0, 0, 0]",['No-Intention'],"[0, 0, 0, 0, 1, 0, 0, 0, 0]","{""intents"":[""No-Intention""]}"
538-4_utt1_intention,538-4,1,"agent_1: Ok. So then let's see. 2 firewood for me, 1 food for me, 1 water for me. 1 firewood for you. 2 food for you. 2 water for you. Does that sound good?",No-Intention,"[0, 0, 0, 0, 1, 0, 0, 0, 0]",['Promote-Coordination'],"[0, 0, 0, 0, 0, 0, 1, 0, 0]","{""intents"":[""Promote-Coordination""]}"
538-4_utt2_intention,538-4,2,agent_2: That's a deal.,No-Intention,"[0, 0, 0, 0, 1, 0, 0, 0, 0]",['Promote-Coordination'],"[0, 0, 0, 0, 0, 0, 1, 0, 0]","{""intents"":[""Promote-Coordination""]}"
539-0_utt1_intention,539-0,1,agent_2: Hi there! How are you?,Build-Rapport,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",['Build-Rapport'],"[1, 0, 0, 0, 0, 0, 0, 0, 0]","{""intents"":[""Build-Rapport""]}"
539-0_utt2_intention,539-0,2,"agent_1: Great! I'm very excited to go camping, how about you?",Build-Rapport,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",['Build-Rapport'],"[1, 0, 0, 0, 0, 0, 0, 0, 0]","{""intents"":[""Build-Rapport""]}"
539-1_utt1_intention,539-1,1,"agent_2: I am! Now, I need a lot of firewood because we were planning on burning some earlier (to start cooking meals and such). I also need some extra food in case bugs come and eat some (like last trip, ugh). How about I take 2 firewood, 2 food, and you take 3 water, 1 firewood, and 1 food?",Describe-Need,"[0, 0, 1, 0, 0, 0, 0, 0, 0]","['Describe-Need', 'Promote-Coordination']","[0, 0, 1, 0, 0, 0, 1, 0, 0]","{""intents"":[""Describe-Need"",""Promote-Coordination""]}"
539-1_utt2_intention,539-1,2,"agent_1: Would you be open to taking 1 less firewood, I would give you 1 food for it. The weather is supposed to be extra chilly and we did not bring warm enough sleeping bags so we need the extra firewood to avoid freezing to death!","Describe-Need,Promote-Coordination","[0, 0, 1, 0, 0, 0, 1, 0, 0]","['Describe-Need', 'Undermine-Requirements']","[0, 0, 1, 0, 0, 0, 0, 0, 1]","{""intents"":[""Describe-Need"",""Undermine-Requirements""]}"
539-2_utt1_intention,539-2,1,"agent_2: No, I would need more water if I were to take that deal.",No-Intention,"[0, 0, 0, 0, 1, 0, 0, 0, 0]",['Describe-Need'],"[0, 0, 1, 0, 0, 0, 0, 0, 0]","{""intents"":[""Describe-Need""]}"
539-2_utt2_intention,539-2,2,agent_1: hmmm I am not willing to give that up. I think I would stick to your original proposal. ,No-Intention,"[0, 0, 0, 0, 1, 0, 0, 0, 0]",['Undermine-Requirements'],"[0, 0, 0, 0, 0, 0, 0, 0, 1]","{""intents"":[""Undermine-Requirements""]}"
539-3_utt1_intention,539-3,1,agent_2: Okay cool. Let's go with my original deal.,No-Intention,"[0, 0, 0, 0, 1, 0, 0, 0, 0]",['Promote-Coordination'],"[0, 0, 0, 0, 0, 0, 1, 0, 0]","{""intents"":[""Promote-Coordination""]}"
539-3_utt2_intention,539-3,2,agent_1: Yeah sounds good.,No-Intention,"[0, 0, 0, 0, 1, 0, 0, 0, 0]",['Promote-Coordination'],"[0, 0, 0, 0, 0, 0, 1, 0, 0]","{""intents"":[""Promote-Coordination""]}"
540-0_utt1_intention,540-0,1,"agent_2: Hi, I would like all of the water and 2 food packages. You can have all of the firewood and one food package. Does that sound good?",No-Intention,"[0, 0, 0, 0, 1, 0, 0, 0, 0]","['Describe-Need', 'Promote-Coordination']","[0, 0, 1, 0, 0, 0, 1, 0, 0]","{""intents"":[""Describe-Need"",""Promote-Coordination""]}"
540-0_utt2_intention,540-0,2,"agent_1: Nice to meet you! I definitely like the idea of having all of the firewood, but water is very important to me. Let's see if we can come to and agreement on how to split up the water.","Callout-Fairness,Promote-Coordination","[0, 1, 0, 0, 0, 0, 1, 0, 0]","['Build-Rapport', 'Describe-Need', 'Promote-Coordination']","[1, 0, 1, 0, 0, 0, 1, 0, 0]","{""intents"":[""Build-Rapport"",""Describe-Need"",""Promote-Coordination""]}"
540-1_utt1_intention,540-1,1,agent_2: I typically drink a lot of water every day. So I can't agree with much less on that!,Describe-Need,"[0, 0, 1, 0, 0, 0, 0, 0, 0]",['Describe-Need'],"[0, 0, 1, 0, 0, 0, 0, 0, 0]","{""intents"":[""Describe-Need""]}"
540-1_utt2_intention,540-1,2,"agent_1: Alright, I'm sure we can something that works for both of us. The location I'm camping in is only accessible by foot, so I anticipate that I'll need a little more water than normal to feel completely safe. Is there any water source nearby your campsite?","Build-Rapport,Describe-Need,Promote-Coordination","[1, 0, 1, 0, 0, 0, 1, 0, 0]","['Promote-Coordination', 'Describe-Need']","[0, 0, 1, 0, 0, 0, 1, 0, 0]","{""intents"":[""Promote-Coordination"",""Describe-Need""]}"
540-2_utt1_intention,540-2,1,"agent_2: Nothing that I would trust. Additionally, I have a dog that will need water as well.",Describe-Need,"[0, 0, 1, 0, 0, 0, 0, 0, 0]",['Describe-Need'],"[0, 0, 1, 0, 0, 0, 0, 0, 0]","{""intents"":[""Describe-Need""]}"
540-2_utt2_intention,540-2,2,"agent_1: Oh well that is something to consider. I love dogs. 🙂. I'd be willing to take less in that case, and let you have 2 of the waters. Would you be OK with leaving me with 1? I'd be willing to split the food up the same way (you get 2, I get 1).","Build-Rapport,Promote-Coordination","[1, 0, 0, 0, 0, 0, 1, 0, 0]","['Build-Rapport', 'Promote-Coordination']","[1, 0, 0, 0, 0, 0, 1, 0, 0]","{""intents"":[""Build-Rapport"",""Promote-Coordination""]}"
540-3_utt1_intention,540-3,1,agent_2: That works. I know water is important. I promise I won't be using it to water plants or wash clothes!,Build-Rapport,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",['Promote-Coordination'],"[0, 0, 0, 0, 0, 0, 1, 0, 0]","{""intents"":[""Promote-Coordination""]}"
540-3_utt2_intention,540-3,2,"agent_1: 🙂 haha of course! I think we've come to a good agreement then! You get the 2 Waters, and I get Water. You get 2 Foods, and I get 1 Food. And I get the 3 Firewoods. Correct?",No-Intention,"[0, 0, 0, 0, 1, 0, 0, 0, 0]",['Promote-Coordination'],"[0, 0, 0, 0, 0, 0, 1, 0, 0]","{""intents"":[""Promote-Coordination""]}"
540-4_utt1_intention,540-4,1,agent_2: That is perfect for me and my dog!  Yes!,No-Intention,"[0, 0, 0, 0, 1, 0, 0, 0, 0]","['Build-Rapport', 'Promote-Coordination']","[1, 0, 0, 0, 0, 0, 1, 0, 0]","{""intents"":[""Build-Rapport"",""Promote-Coordination""]}"
540-4_utt2_intention,540-4,2,agent_1: Perfect! I'll submit the deal shortly. What type of dog do you have?,Build-Rapport,"[1, 0, 0, 0, 0, 0, 0, 0, 0]","['Build-Rapport', 'Promote-Coordination']","[1, 0, 0, 0, 0, 0, 1, 0, 0]","{""intents"":[""Build-Rapport"",""Promote-Coordination""]}"
541-0_utt1_intention,541-0,1,agent_1: Hello How is preparing for your trip going?,Build-Rapport,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",['Build-Rapport'],"[1, 0, 0, 0, 0, 0, 0, 0, 0]","{""intents"":[""Build-Rapport""]}"
541-0_utt2_intention,541-0,2,agent_2: Hi! I've made some mistakes so I need some extra supplies. ☹️ Which item do you need the most?,"Build-Rapport,Discover-Preference","[1, 0, 0, 1, 0, 0, 0, 0, 0]","['Describe-Need', 'Discover-Preference']","[0, 0, 1, 1, 0, 0, 0, 0, 0]","{""intents"":[""Describe-Need"",""Discover-Preference""]}"
541-1_utt1_intention,541-1,1,agent_1: I need water the most we are campin  in arizona how about you,"Describe-Need,Discover-Preference","[0, 0, 1, 1, 0, 0, 0, 0, 0]","['Describe-Need', 'Discover-Preference']","[0, 0, 1, 1, 0, 0, 0, 0, 0]","{""intents"":[""Describe-Need"",""Discover-Preference""]}"
541-1_utt2_intention,541-1,2,agent_2: Oh no. I need water the most too!,No-Intention,"[0, 0, 0, 0, 1, 0, 0, 0, 0]","['Show-Empathy', 'Describe-Need']","[0, 0, 1, 0, 0, 0, 0, 1, 0]","{""intents"":[""Show-Empathy"",""Describe-Need""]}"
541-2_utt1_intention,541-2,1,agent_1: well this should be intersting what do you need second most?,Discover-Preference,"[0, 0, 0, 1, 0, 0, 0, 0, 0]",['Discover-Preference'],"[0, 0, 0, 1, 0, 0, 0, 0, 0]","{""intents"":[""Discover-Preference""]}"
541-2_utt2_intention,541-2,2,agent_2: I need food the second most.,No-Intention,"[0, 0, 0, 0, 1, 0, 0, 0, 0]","['Describe-Need', 'Discover-Preference']","[0, 0, 1, 1, 0, 0, 0, 0, 0]","{""intents"":[""Describe-Need"",""Discover-Preference""]}"
541-3_utt1_intention,541-3,1,agent_1: i need firewood the second most hoping to cook some yummy food!,Describe-Need,"[0, 0, 1, 0, 0, 0, 0, 0, 0]",['Describe-Need'],"[0, 0, 1, 0, 0, 0, 0, 0, 0]","{""intents"":[""Describe-Need""]}"
541-3_utt2_intention,541-3,2,agent_2: How about I get 2 water and all 3 food? You can have all 3 firewood and 1 water.,No-Intention,"[0, 0, 0, 0, 1, 0, 0, 0, 0]",['Promote-Coordination'],"[0, 0, 0, 0, 0, 0, 1, 0, 0]","{""intents"":[""Promote-Coordination""]}"
541-4_utt1_intention,541-4,1,agent_1: sounds good to me,No-Intention,"[0, 0, 0, 0, 1, 0, 0, 0, 0]",['Promote-Coordination'],"[0, 0, 0, 0, 0, 0, 1, 0, 0]","{""intents"":[""Promote-Coordination""]}"
541-4_utt2_intention,541-4,2,agent_2: Are you sure?,No-Intention,"[0, 0, 0, 0, 1, 0, 0, 0, 0]",['Promote-Coordination'],"[0, 0, 0, 0, 0, 0, 1, 0, 0]","{""intents"":[""Promote-Coordination""]}"
542-0_utt1_intention,542-0,1,agent_2: Hi! Which items are important to you?,Discover-Preference,"[0, 0, 0, 1, 0, 0, 0, 0, 0]","['Build-Rapport', 'Discover-Preference']","[1, 0, 0, 1, 0, 0, 0, 0, 0]","{""intents"":[""Build-Rapport"",""Discover-Preference""]}"
542-0_utt2_intention,542-0,2,agent_1: Food is the most important to me because I need to eat more often so that I can take my medications.  ,Describe-Need,"[0, 0, 1, 0, 0, 0, 0, 0, 0]",['Describe-Need'],"[0, 0, 1, 0, 0, 0, 0, 0, 0]","{""intents"":[""Describe-Need""]}"
542-1_utt1_intention,542-1,1,"agent_2: Yeah, that is important. I do not have a problem letting you have more food than me.",Show-Empathy,"[0, 0, 0, 0, 0, 0, 0, 1, 0]","['Show-Empathy', 'Promote-Coordination']","[0, 0, 0, 0, 0, 0, 1, 1, 0]","{""intents"":[""Show-Empathy"",""Promote-Coordination""]}"
542-1_utt2_intention,542-1,2,agent_1: Would it be possible to get an extra water also?  How do you feel about the firewood?  I wish we could split everything evenly.🙂,"Callout-Fairness,Discover-Preference","[0, 1, 0, 1, 0, 0, 0, 0, 0]","['Callout-Fairness', 'Describe-Need']","[0, 1, 1, 0, 0, 0, 0, 0, 0]","{""intents"":[""Callout-Fairness"",""Describe-Need""]}"
542-2_utt1_intention,542-2,1,agent_2: Me too. Firewood is the most important thing to me. We will be somewhere cold and we could use the extra warmth.,Describe-Need,"[0, 0, 1, 0, 0, 0, 0, 0, 0]","['Discover-Preference', 'Describe-Need']","[0, 0, 1, 1, 0, 0, 0, 0, 0]","{""intents"":[""Discover-Preference"",""Describe-Need""]}"
542-2_utt2_intention,542-2,2,"agent_1: True.  How about I get 2 food, 2 water and 1 firewood. And that will leave you with 2 firewood, 1 water, and 1 food? ",No-Intention,"[0, 0, 0, 0, 1, 0, 0, 0, 0]","['Callout-Fairness', 'Promote-Coordination']","[0, 1, 0, 0, 0, 0, 1, 0, 0]","{""intents"":[""Callout-Fairness"",""Promote-Coordination""]}"
542-3_utt1_intention,542-3,1,agent_2: What do you need the extra water for?,Discover-Preference,"[0, 0, 0, 1, 0, 0, 0, 0, 0]",['Discover-Preference'],"[0, 0, 0, 1, 0, 0, 0, 0, 0]","{""intents"":[""Discover-Preference""]}"
542-3_utt2_intention,542-3,2,agent_1: With the extra food I need I will need extra water also.  How about I only take 1 extra water?  ,No-Intention,"[0, 0, 0, 0, 1, 0, 0, 0, 0]","['Describe-Need', 'Promote-Coordination']","[0, 0, 1, 0, 0, 0, 1, 0, 0]","{""intents"":[""Describe-Need"",""Promote-Coordination""]}"
542-4_utt1_intention,542-4,1,"agent_2: So are you okay with you getting 2 food, 1 water, and 1 firewood and me getting 1 food, 2 water and 2 firewood? I'll do that deal.",No-Intention,"[0, 0, 0, 0, 1, 0, 0, 0, 0]",['Promote-Coordination'],"[0, 0, 0, 0, 0, 0, 1, 0, 0]","{""intents"":[""Promote-Coordination""]}"
