uid,dialogue_id,utt_idx,target_utterance,gold_intent,gold_bitmask,pred_intents,pred_bitmask,raw_response
457-5_utt1_intention,457-5,1,agent_2: So we have a deal🙂 Thanks!,No-Intention,"[0, 0, 0, 0, 1, 0, 0, 0, 0]","['Build-Rapport', 'Promote-Coordination']","[1, 0, 0, 0, 0, 0, 1, 0, 0]","{""intents"":[""Build-Rapport"",""Promote-Coordination""]}"
458-0_utt1_intention,458-0,1,agent_2: Hi there!,No-Intention,"[0, 0, 0, 0, 1, 0, 0, 0, 0]",['Build-Rapport'],"[1, 0, 0, 0, 0, 0, 0, 0, 0]","{""intents"":[""Build-Rapport""]}"
458-0_utt2_intention,458-0,2,agent_1: hello !🙂,No-Intention,"[0, 0, 0, 0, 1, 0, 0, 0, 0]",['Build-Rapport'],"[1, 0, 0, 0, 0, 0, 0, 0, 0]","{""intents"":[""Build-Rapport""]}"
458-1_utt1_intention,458-1,1,agent_2: What are your preferences?,Discover-Preference,"[0, 0, 0, 1, 0, 0, 0, 0, 0]",['Discover-Preference'],"[0, 0, 0, 1, 0, 0, 0, 0, 0]","{""intents"":[""Discover-Preference""]}"
458-1_utt2_intention,458-1,2,"agent_1: I am about to go on a charity event with a kid from the make a wish foundation, I would like to get some firewood and maybe some food for his trip so he wont be cold and hungry at least.",Describe-Need,"[0, 0, 1, 0, 0, 0, 0, 0, 0]","['Describe-Need', 'Show-Empathy']","[0, 0, 1, 0, 0, 0, 0, 1, 0]","{""intents"":[""Describe-Need"",""Show-Empathy""]}"
458-2_utt1_intention,458-2,1,agent_2: I can give you 2 units of food. How much firewood do you need?,No-Intention,"[0, 0, 0, 0, 1, 0, 0, 0, 0]","['Discover-Preference', 'Promote-Coordination']","[0, 0, 0, 1, 0, 0, 1, 0, 0]","{""intents"":[""Discover-Preference"",""Promote-Coordination""]}"
458-2_utt2_intention,458-2,2,"agent_1: I was thinking about 2 units of firewood and 1 unit of food and one unit of water, what are you going to be needing this for?",No-Intention,"[0, 0, 0, 0, 1, 0, 0, 0, 0]","['Describe-Need', 'Discover-Preference', 'Promote-Coordination']","[0, 0, 1, 1, 0, 0, 1, 0, 0]","{""intents"":[""Describe-Need"",""Discover-Preference"",""Promote-Coordination""]}"
458-3_utt1_intention,458-3,1,agent_2: I can do that. I am going camping in the fall with my family so we need a lot of food. We're camping by the lake so if you want I can give you an extra unit of water.,Describe-Need,"[0, 0, 1, 0, 0, 0, 0, 0, 0]","['Describe-Need', 'Promote-Coordination']","[0, 0, 1, 0, 0, 0, 1, 0, 0]","{""intents"":[""Describe-Need"",""Promote-Coordination""]}"
458-3_utt2_intention,458-3,2,"agent_1: sure thats sounds fair, so that would leave you with two units of food one unit of firewood and one unit of water then?",Callout-Fairness,"[0, 1, 0, 0, 0, 0, 0, 0, 0]","['Callout-Fairness', 'Promote-Coordination']","[0, 1, 0, 0, 0, 0, 1, 0, 0]","{""intents"":[""Callout-Fairness"",""Promote-Coordination""]}"
458-4_utt1_intention,458-4,1,agent_2: That sounds fair to me. Have fun with the kiddo!,"Build-Rapport,Callout-Fairness","[1, 1, 0, 0, 0, 0, 0, 0, 0]","['Callout-Fairness', 'Show-Empathy']","[0, 1, 0, 0, 0, 0, 0, 1, 0]","{""intents"":[""Callout-Fairness"",""Show-Empathy""]}"
458-4_utt2_intention,458-4,2,"agent_1: thanks again, hope you and your family have a fun and safe trip!",Build-Rapport,"[1, 0, 0, 0, 0, 0, 0, 0, 0]","['Build-Rapport', 'Show-Empathy']","[1, 0, 0, 0, 0, 0, 0, 1, 0]","{""intents"":[""Build-Rapport"",""Show-Empathy""]}"
459-0_utt1_intention,459-0,1,agent_2: Hi! I look forward to making a trade with you that's good for us both.,"Callout-Fairness,Promote-Coordination","[0, 1, 0, 0, 0, 0, 1, 0, 0]","['Build-Rapport', 'Callout-Fairness', 'Promote-Coordination']","[1, 1, 0, 0, 0, 0, 1, 0, 0]","{""intents"":[""Build-Rapport"",""Callout-Fairness"",""Promote-Coordination""]}"
459-0_utt2_intention,459-0,2,"agent_1: Me too, hopefully we can get together on a deal.",Promote-Coordination,"[0, 0, 0, 0, 0, 0, 1, 0, 0]","['Build-Rapport', 'Promote-Coordination']","[1, 0, 0, 0, 0, 0, 1, 0, 0]","{""intents"":[""Build-Rapport"",""Promote-Coordination""]}"
459-1_utt1_intention,459-1,1,agent_2: I'm hoping so too. What's most valuable to you?,Discover-Preference,"[0, 0, 0, 1, 0, 0, 0, 0, 0]","['Build-Rapport', 'Discover-Preference']","[1, 0, 0, 1, 0, 0, 0, 0, 0]","{""intents"":[""Build-Rapport"",""Discover-Preference""]}"
459-1_utt2_intention,459-1,2,"agent_1: Water, what about you? ",Discover-Preference,"[0, 0, 0, 1, 0, 0, 0, 0, 0]","['Describe-Need', 'Discover-Preference']","[0, 0, 1, 1, 0, 0, 0, 0, 0]","{""intents"":[""Describe-Need"",""Discover-Preference""]}"
459-2_utt1_intention,459-2,1,"agent_2: Food, but I definitely do need some water, too. Can you live with taking 2 waters?",No-Intention,"[0, 0, 0, 0, 1, 0, 0, 0, 0]","['Describe-Need', 'Discover-Preference', 'Promote-Coordination']","[0, 0, 1, 1, 0, 0, 1, 0, 0]","{""intents"":[""Describe-Need"",""Discover-Preference"",""Promote-Coordination""]}"
459-2_utt2_intention,459-2,2,"agent_1: Yes, can you live with two foods? ",No-Intention,"[0, 0, 0, 0, 1, 0, 0, 0, 0]","['Promote-Coordination', 'Discover-Preference']","[0, 0, 0, 1, 0, 0, 1, 0, 0]","{""intents"":[""Promote-Coordination"",""Discover-Preference""]}"
459-3_utt1_intention,459-3,1,agent_2: I can. How about firewood? I would like 2 if possible.,No-Intention,"[0, 0, 0, 0, 1, 0, 0, 0, 0]","['Describe-Need', 'Discover-Preference', 'Promote-Coordination']","[0, 0, 1, 1, 0, 0, 1, 0, 0]","{""intents"":[""Describe-Need"",""Discover-Preference"",""Promote-Coordination""]}"
459-3_utt2_intention,459-3,2,agent_1: Well there are only 3.,No-Intention,"[0, 0, 0, 0, 1, 0, 0, 0, 0]","['Callout-Fairness', 'Describe-Need', 'Promote-Coordination']","[0, 1, 1, 0, 0, 0, 1, 0, 0]","{""intents"":[""Callout-Fairness"",""Describe-Need"",""Promote-Coordination""]}"
459-4_utt1_intention,459-4,1,"agent_2: Of course. Since you're getting more water, I was hoping to get 2 firewood, and you could have the remaining 1. Would that work for you?",Callout-Fairness,"[0, 1, 0, 0, 0, 0, 0, 0, 0]","['Describe-Need', 'Promote-Coordination', 'Callout-Fairness']","[0, 1, 1, 0, 0, 0, 1, 0, 0]","{""intents"":[""Describe-Need"",""Promote-Coordination"",""Callout-Fairness""]}"
459-4_utt2_intention,459-4,2,"agent_1: Water was my high priority and food was your's, so I think we already split the difference there. ",Callout-Fairness,"[0, 1, 0, 0, 0, 0, 0, 0, 0]","['Callout-Fairness', 'Describe-Need', 'Promote-Coordination']","[0, 1, 1, 0, 0, 0, 1, 0, 0]","{""intents"":[""Callout-Fairness"",""Describe-Need"",""Promote-Coordination""]}"
459-5_utt1_intention,459-5,1,"agent_2: Okay, so how do you propose splitting the firewood?","Callout-Fairness,Promote-Coordination","[0, 1, 0, 0, 0, 0, 1, 0, 0]","['Callout-Fairness', 'Promote-Coordination']","[0, 1, 0, 0, 0, 0, 1, 0, 0]","{""intents"":[""Callout-Fairness"",""Promote-Coordination""]}"
459-5_utt2_intention,459-5,2,"agent_1: Can we split a bundle, in the real world that would be cool.  ",No-Intention,"[0, 0, 0, 0, 1, 0, 0, 0, 0]",['Promote-Coordination'],"[0, 0, 0, 0, 0, 0, 1, 0, 0]","{""intents"":[""Promote-Coordination""]}"
459-6_utt1_intention,459-6,1,agent_2: I wish we could. I would be down for that. 🙂 That seems the most fair to me. How about you enter the trade deal on your end?,Callout-Fairness,"[0, 1, 0, 0, 0, 0, 0, 0, 0]","['Build-Rapport', 'Callout-Fairness', 'Promote-Coordination']","[1, 1, 0, 0, 0, 0, 1, 0, 0]","{""intents"":[""Build-Rapport"",""Callout-Fairness"",""Promote-Coordination""]}"
459-6_utt2_intention,459-6,2,agent_1: Deal. ,No-Intention,"[0, 0, 0, 0, 1, 0, 0, 0, 0]",['Promote-Coordination'],"[0, 0, 0, 0, 0, 0, 1, 0, 0]","{""intents"":[""Promote-Coordination""]}"
459-7_utt1_intention,459-7,1,"agent_2: Then let me pass it back to you, and you can enter the trade, then hit submit. I'll be ready.",No-Intention,"[0, 0, 0, 0, 1, 0, 0, 0, 0]","['Promote-Coordination', 'Callout-Fairness']","[0, 1, 0, 0, 0, 0, 1, 0, 0]","{""intents"":[""Promote-Coordination"",""Callout-Fairness""]}"
460-0_utt1_intention,460-0,1,"agent_2: Hello, I think that I should get all of the water packages, 2 firewood and you can have all of the food.🙂",No-Intention,"[0, 0, 0, 0, 1, 0, 0, 0, 0]","['Describe-Need', 'Promote-Coordination']","[0, 0, 1, 0, 0, 0, 1, 0, 0]","{""intents"":[""Describe-Need"",""Promote-Coordination""]}"
460-0_utt2_intention,460-0,2,"agent_1: Hi there, i appreciate your initial offer. ",No-Intention,"[0, 0, 0, 0, 1, 0, 0, 0, 0]","['Build-Rapport', 'Show-Empathy']","[1, 0, 0, 0, 0, 0, 0, 1, 0]","{""intents"":[""Build-Rapport"",""Show-Empathy""]}"
460-1_utt1_intention,460-1,1,agent_2: What is your offer on the additional packages?,Promote-Coordination,"[0, 0, 0, 0, 0, 0, 1, 0, 0]",['Discover-Preference'],"[0, 0, 0, 1, 0, 0, 0, 0, 0]","{""intents"":[""Discover-Preference""]}"
460-1_utt2_intention,460-1,2,agent_1: I would be willing to give you all of the firewood (3) and two of the water (2) while I get the rest,Promote-Coordination,"[0, 0, 0, 0, 0, 0, 1, 0, 0]","['Promote-Coordination', 'Callout-Fairness']","[0, 1, 0, 0, 0, 0, 1, 0, 0]","{""intents"":[""Promote-Coordination"",""Callout-Fairness""]}"
460-2_utt1_intention,460-2,1,"agent_2: Ok great, are you going to be ok with getting your own water and firewood during the trip?",No-Intention,"[0, 0, 0, 0, 1, 0, 0, 0, 0]","['Discover-Preference', 'Promote-Coordination']","[0, 0, 0, 1, 0, 0, 1, 0, 0]","{""intents"":[""Discover-Preference"",""Promote-Coordination""]}"
460-2_utt2_intention,460-2,2,"agent_1: I think that I will be able to, so I'd like to offer you those extras.🙂",No-Intention,"[0, 0, 0, 0, 1, 0, 0, 0, 0]","['Build-Rapport', 'Promote-Coordination']","[1, 0, 0, 0, 0, 0, 1, 0, 0]","{""intents"":[""Build-Rapport"",""Promote-Coordination""]}"
460-3_utt1_intention,460-3,1,"agent_2: Thank you, it would have been difficult for me to get more firewood and I appreciate the additional water. So I get 3 firewood, 2 water and 0 food.",No-Intention,"[0, 0, 0, 0, 1, 0, 0, 0, 0]","['Show-Empathy', 'Describe-Need', 'Promote-Coordination']","[0, 0, 1, 0, 0, 0, 1, 1, 0]","{""intents"":[""Show-Empathy"",""Describe-Need"",""Promote-Coordination""]}"
460-3_utt2_intention,460-3,2,"agent_1: Yes, I think that deal will be the most helpful to both of us. I appreciate the food, which is important to me.",Callout-Fairness,"[0, 1, 0, 0, 0, 0, 0, 0, 0]","['Build-Rapport', 'Show-Empathy', 'Promote-Coordination', 'Describe-Need']","[1, 0, 1, 0, 0, 0, 1, 1, 0]","{""intents"":[""Build-Rapport"",""Show-Empathy"",""Promote-Coordination"",""Describe-Need""]}"
460-4_utt1_intention,460-4,1,"agent_2: You are welcome. Thank you for being so understanding, the extra packages are really going to come in handy for me!🙂",No-Intention,"[0, 0, 0, 0, 1, 0, 0, 0, 0]","['Build-Rapport', 'Show-Empathy', 'Describe-Need']","[1, 0, 1, 0, 0, 0, 0, 1, 0]","{""intents"":[""Build-Rapport"",""Show-Empathy"",""Describe-Need""]}"
460-4_utt2_intention,460-4,2,"agent_1: Perfect, I will submit the deal after just a few more messages. You were great to work with!",No-Intention,"[0, 0, 0, 0, 1, 0, 0, 0, 0]","['Build-Rapport', 'Promote-Coordination', 'Show-Empathy']","[1, 0, 0, 0, 0, 0, 1, 1, 0]","{""intents"":[""Build-Rapport"",""Promote-Coordination"",""Show-Empathy""]}"
460-5_utt1_intention,460-5,1,"agent_2: I agree and thanks, you also!",No-Intention,"[0, 0, 0, 0, 1, 0, 0, 0, 0]","['Build-Rapport', 'Show-Empathy']","[1, 0, 0, 0, 0, 0, 0, 1, 0]","{""intents"":[""Build-Rapport"",""Show-Empathy""]}"
461-0_utt1_intention,461-0,1,"agent_2: hi! i would love to take my kids camping to teach them about the outdoors, to do this how about i take all of the food and 2 of the waters, you can have the rest ",Describe-Need,"[0, 0, 1, 0, 0, 0, 0, 0, 0]","['Build-Rapport', 'Describe-Need', 'Promote-Coordination']","[1, 0, 1, 0, 0, 0, 1, 0, 0]","{""intents"":[""Build-Rapport"",""Describe-Need"",""Promote-Coordination""]}"
461-0_utt2_intention,461-0,2,agent_1: Hello there.  That deal most definitely will not work for me. ,Callout-Fairness,"[0, 1, 0, 0, 0, 0, 0, 0, 0]","['Callout-Fairness', 'Undermine-Requirements']","[0, 1, 0, 0, 0, 0, 0, 0, 1]","{""intents"":[""Callout-Fairness"",""Undermine-Requirements""]}"
461-1_utt1_intention,461-1,1,"agent_2: OK, If i take all 3 of the foods and 1 of the waters you can have the remaining packages ",No-Intention,"[0, 0, 0, 0, 1, 0, 0, 0, 0]","['Promote-Coordination', 'Describe-Need']","[0, 0, 1, 0, 0, 0, 1, 0, 0]","{""intents"":[""Promote-Coordination"",""Describe-Need""]}"
461-1_utt2_intention,461-1,2,"agent_1: I need to eat too, especially if I want to go on a long hike.  How about I take 2 foods, 2 waters, and 1 firewood? ",Describe-Need,"[0, 0, 1, 0, 0, 0, 0, 0, 0]","['Describe-Need', 'Promote-Coordination']","[0, 0, 1, 0, 0, 0, 1, 0, 0]","{""intents"":[""Describe-Need"",""Promote-Coordination""]}"
461-2_utt1_intention,461-2,1,"agent_2: I am sorry that will not work for me, how about i take 2 food, 1 water and 1 firewood and you can have the rest? That way we each get some of each",Callout-Fairness,"[0, 1, 0, 0, 0, 0, 0, 0, 0]","['Callout-Fairness', 'Promote-Coordination']","[0, 1, 0, 0, 0, 0, 1, 0, 0]","{""intents"":[""Callout-Fairness"",""Promote-Coordination""]}"
461-2_utt2_intention,461-2,2,agent_1: I think that sounds pretty good.  I look forward to singing songs around the fire and going on extra hikes. ,Build-Rapport,"[1, 0, 0, 0, 0, 0, 0, 0, 0]","['Build-Rapport', 'Promote-Coordination']","[1, 0, 0, 0, 0, 0, 1, 0, 0]","{""intents"":[""Build-Rapport"",""Promote-Coordination""]}"
461-3_utt1_intention,461-3,1,agent_2: fantastic! and i look forward to getting my kids noses out of the electronics! ,Build-Rapport,"[1, 0, 0, 0, 0, 0, 0, 0, 0]","['Build-Rapport', 'Show-Empathy']","[1, 0, 0, 0, 0, 0, 0, 1, 0]","{""intents"":[""Build-Rapport"",""Show-Empathy""]}"
461-3_utt2_intention,461-3,2,"agent_1: I hear that. I think all of us could use a ""digital detox"" from time to time.  ",Build-Rapport,"[1, 0, 0, 0, 0, 0, 0, 0, 0]","['Build-Rapport', 'Show-Empathy']","[1, 0, 0, 0, 0, 0, 0, 1, 0]","{""intents"":[""Build-Rapport"",""Show-Empathy""]}"
461-4_utt1_intention,461-4,1,agent_2: Especially right now when everything is closed with the COVID pandemic! ,Build-Rapport,"[1, 0, 0, 0, 0, 0, 0, 0, 0]","['Build-Rapport', 'Show-Empathy']","[1, 0, 0, 0, 0, 0, 0, 1, 0]","{""intents"":[""Build-Rapport"",""Show-Empathy""]}"
461-4_utt2_intention,461-4,2,agent_1: It will be good to decompress and get away from the madness. ,Build-Rapport,"[1, 0, 0, 0, 0, 0, 0, 0, 0]","['Build-Rapport', 'Show-Empathy']","[1, 0, 0, 0, 0, 0, 0, 1, 0]","{""intents"":[""Build-Rapport"",""Show-Empathy""]}"
462-0_utt1_intention,462-0,1,agent_1: hi,No-Intention,"[0, 0, 0, 0, 1, 0, 0, 0, 0]",['Build-Rapport'],"[1, 0, 0, 0, 0, 0, 0, 0, 0]","{""intents"":[""Build-Rapport""]}"
462-0_utt2_intention,462-0,2,agent_2: Hi how is it going?,Build-Rapport,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",['Build-Rapport'],"[1, 0, 0, 0, 0, 0, 0, 0, 0]","{""intents"":[""Build-Rapport""]}"
462-1_utt1_intention,462-1,1,agent_1: It took a while to load but good.,Build-Rapport,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",['Build-Rapport'],"[1, 0, 0, 0, 0, 0, 0, 0, 0]","{""intents"":[""Build-Rapport""]}"
462-1_utt2_intention,462-1,2,agent_2: Let's talk about how we can split the camping supplies,"Callout-Fairness,Promote-Coordination","[0, 1, 0, 0, 0, 0, 1, 0, 0]","['Callout-Fairness', 'Promote-Coordination']","[0, 1, 0, 0, 0, 0, 1, 0, 0]","{""intents"":[""Callout-Fairness"",""Promote-Coordination""]}"
462-2_utt1_intention,462-2,1,agent_1: Ok I think we should split evenly,"Callout-Fairness,Promote-Coordination","[0, 1, 0, 0, 0, 0, 1, 0, 0]","['Callout-Fairness', 'Promote-Coordination']","[0, 1, 0, 0, 0, 0, 1, 0, 0]","{""intents"":[""Callout-Fairness"",""Promote-Coordination""]}"
462-2_utt2_intention,462-2,2,"agent_2: yes we should come to a fair deal, what are your priority items?",Discover-Preference,"[0, 0, 0, 1, 0, 0, 0, 0, 0]","['Callout-Fairness', 'Discover-Preference', 'Promote-Coordination']","[0, 1, 0, 1, 0, 0, 1, 0, 0]","{""intents"":[""Callout-Fairness"",""Discover-Preference"",""Promote-Coordination""]}"
462-3_utt1_intention,462-3,1,"agent_1: Food is highest, firewood is medium, and water lowest. You?",No-Intention,"[0, 0, 0, 0, 1, 0, 0, 0, 0]","['Describe-Need', 'Discover-Preference']","[0, 0, 1, 1, 0, 0, 0, 0, 0]","{""intents"":[""Describe-Need"",""Discover-Preference""]}"
462-3_utt2_intention,462-3,2,"agent_2: I have food, water and firewood.",No-Intention,"[0, 0, 0, 0, 1, 0, 0, 0, 0]","['Describe-Need', 'Discover-Preference']","[0, 0, 1, 1, 0, 0, 0, 0, 0]","{""intents"":[""Describe-Need"",""Discover-Preference""]}"
462-4_utt1_intention,462-4,1,agent_1: Ok so whoever gets more wood should get something else higher,Callout-Fairness,"[0, 1, 0, 0, 0, 0, 0, 0, 0]","['Callout-Fairness', 'Promote-Coordination']","[0, 1, 0, 0, 0, 0, 1, 0, 0]","{""intents"":[""Callout-Fairness"",""Promote-Coordination""]}"
462-4_utt2_intention,462-4,2,"agent_2: How bout this deal, me - 3 water, 2 firewood, you 3 food, 1 firewood",No-Intention,"[0, 0, 0, 0, 1, 0, 0, 0, 0]","['Callout-Fairness', 'Promote-Coordination']","[0, 1, 0, 0, 0, 0, 1, 0, 0]","{""intents"":[""Callout-Fairness"",""Promote-Coordination""]}"
462-5_utt1_intention,462-5,1,agent_1: Sounds alright,Callout-Fairness,"[0, 1, 0, 0, 0, 0, 0, 0, 0]","['Callout-Fairness', 'Promote-Coordination']","[0, 1, 0, 0, 0, 0, 1, 0, 0]","{""intents"":[""Callout-Fairness"",""Promote-Coordination""]}"
463-0_utt1_intention,463-0,1,agent_1: Hi there. Hope you too are looking forward to this much needed camping trip. What are your needs in terms of extra packages?,"Build-Rapport,Discover-Preference","[1, 0, 0, 1, 0, 0, 0, 0, 0]","['Build-Rapport', 'Discover-Preference', 'Promote-Coordination']","[1, 0, 0, 1, 0, 0, 1, 0, 0]","{""intents"":[""Build-Rapport"",""Discover-Preference"",""Promote-Coordination""]}"
463-0_utt2_intention,463-0,2,"agent_2: Since this is the first time for the family to be camping, having plenty of food for everyone is on the top of my list.",Describe-Need,"[0, 0, 1, 0, 0, 0, 0, 0, 0]","['Describe-Need', 'Discover-Preference']","[0, 0, 1, 1, 0, 0, 0, 0, 0]","{""intents"":[""Describe-Need"",""Discover-Preference""]}"
463-1_utt1_intention,463-1,1,agent_1: I am fine with you having the 3 foods. Is it okay if I have 3 water units We are fasting and need lots of hydration.,Describe-Need,"[0, 0, 1, 0, 0, 0, 0, 0, 0]","['Describe-Need', 'Promote-Coordination']","[0, 0, 1, 0, 0, 0, 1, 0, 0]","{""intents"":[""Describe-Need"",""Promote-Coordination""]}"
463-1_utt2_intention,463-1,2,agent_2: Are you sure you need all of the water? It would be nice to have some extra.,Undermine-Requirements,"[0, 0, 0, 0, 0, 0, 0, 0, 1]","['Callout-Fairness', 'Discover-Preference', 'Show-Empathy']","[0, 1, 0, 1, 0, 0, 0, 1, 0]","{""intents"":[""Callout-Fairness"",""Discover-Preference"",""Show-Empathy""]}"
463-2_utt1_intention,463-2,1,"agent_1: Well, we do need the water pretty badly. But I guess wanting all the water is stingy so I will pack extra water since we are not packing food. How about you guys receive 1 water and 3 food units?",Callout-Fairness,"[0, 1, 0, 0, 0, 0, 0, 0, 0]","['Describe-Need', 'Promote-Coordination', 'Callout-Fairness']","[0, 1, 1, 0, 0, 0, 1, 0, 0]","{""intents"":[""Describe-Need"",""Promote-Coordination"",""Callout-Fairness""]}"
463-2_utt2_intention,463-2,2,"agent_2: If you feel you absolutely need the 3 waters, I will let you have them provided I can have 2 firewoods along with the 3 foods.",Promote-Coordination,"[0, 0, 0, 0, 0, 0, 1, 0, 0]","['Callout-Fairness', 'Promote-Coordination']","[0, 1, 0, 0, 0, 0, 1, 0, 0]","{""intents"":[""Callout-Fairness"",""Promote-Coordination""]}"
463-3_utt1_intention,463-3,1,"agent_1: That is so nice of you. Being that you have family, you might need more firewood for cooking for the crew! Do you agree? And how many kids are you traveling with? ",Build-Rapport,"[1, 0, 0, 0, 0, 0, 0, 0, 0]","['Build-Rapport', 'Show-Empathy', 'Discover-Preference', 'Promote-Coordination']","[1, 0, 0, 1, 0, 0, 1, 1, 0]","{""intents"":[""Build-Rapport"",""Show-Empathy"",""Discover-Preference"",""Promote-Coordination""]}"
463-3_utt2_intention,463-3,2,agent_2: I have 2 kids and want to make sure they stay warm.  The firewood will go a long way in keeping them comfortable.,Describe-Need,"[0, 0, 1, 0, 0, 0, 0, 0, 0]","['Describe-Need', 'Show-Empathy']","[0, 0, 1, 0, 0, 0, 0, 1, 0]","{""intents"":[""Describe-Need"",""Show-Empathy""]}"
463-4_utt1_intention,463-4,1,"agent_1: I am leaving my little ones home. I feel a little guilty but am going forward with the plan! So, I input our order that you guys receive 3 food, 2 firewood, and no water. Are we in agreement?",Build-Rapport,"[1, 0, 0, 0, 0, 0, 0, 0, 0]","['Build-Rapport', 'Callout-Fairness', 'Promote-Coordination', 'Show-Empathy']","[1, 1, 0, 0, 0, 0, 1, 1, 0]","{""intents"":[""Build-Rapport"",""Callout-Fairness"",""Promote-Coordination"",""Show-Empathy""]}"
463-4_utt2_intention,463-4,2,agent_2: Yes. That sounds fair to me.,Callout-Fairness,"[0, 1, 0, 0, 0, 0, 0, 0, 0]","['Callout-Fairness', 'Promote-Coordination']","[0, 1, 0, 0, 0, 0, 1, 0, 0]","{""intents"":[""Callout-Fairness"",""Promote-Coordination""]}"
464-0_utt1_intention,464-0,1,"agent_2: Hello I'm interested in obtaining more of the water and food, but don't need any extra firewood🙂",No-Intention,"[0, 0, 0, 0, 1, 0, 0, 0, 0]","['Describe-Need', 'Discover-Preference']","[0, 0, 1, 1, 0, 0, 0, 0, 0]","{""intents"":[""Describe-Need"",""Discover-Preference""]}"
464-0_utt2_intention,464-0,2,agent_1: Well I am really in the same position as you are. Suppose I take 2 waters and only 1 food? ,No-Intention,"[0, 0, 0, 0, 1, 0, 0, 0, 0]","['Build-Rapport', 'Describe-Need', 'Discover-Preference', 'Promote-Coordination']","[1, 0, 1, 1, 0, 0, 1, 0, 0]","{""intents"":[""Build-Rapport"",""Describe-Need"",""Discover-Preference"",""Promote-Coordination""]}"
