uid,dialogue_id,agent,gold_desire,pred,raw_response,desire_em
83-2_agent_1_desire,83-2,agent_1,"{'High': 'Not Given', 'Medium': 'Not Given', 'Low': 'Not Given'}","{'high': 'Not Given', 'medium': 'Not Given', 'low': 'Not Given'}","{""high"":""Not Given"",""medium"":""Not Given"",""low"":""Not Given""}",1
83-2_agent_2_desire,83-2,agent_2,"{'High': 'Not Given', 'Medium': 'Not Given', 'Low': 'Not Given'}","{'high': 'Not Given', 'medium': 'Not Given', 'low': 'Not Given'}","{""high"":""Not Given"",""medium"":""Not Given"",""low"":""Not Given""}",1
83-3_agent_1_desire,83-3,agent_1,"{'High': 'Not Given', 'Medium': 'Not Given', 'Low': 'Not Given'}","{'high': 'Not Given', 'medium': 'Not Given', 'low': 'Not Given'}","{""high"":""Not Given"",""medium"":""Not Given"",""low"":""Not Given""}",1
83-3_agent_2_desire,83-3,agent_2,"{'High': 'Not Given', 'Medium': 'Not Given', 'Low': 'Not Given'}","{'high': 'Not Given', 'medium': 'Not Given', 'low': 'Not Given'}","{""high"":""Not Given"",""medium"":""Not Given"",""low"":""Not Given""}",1
83-4_agent_1_desire,83-4,agent_1,"{'High': 'Not Given', 'Medium': 'Not Given', 'Low': 'Not Given'}","{'high': 'water', 'medium': 'food', 'low': 'firewood'}","{""high"":""water"",""medium"":""food"",""low"":""firewood""}",0
83-4_agent_2_desire,83-4,agent_2,"{'High': 'Not Given', 'Medium': 'Not Given', 'Low': 'Not Given'}","{'high': 'Food', 'medium': 'Not Given', 'low': 'Not Given'}","{""high"":""Food"",""medium"":""Not Given"",""low"":""Not Given""}",0
83-5_agent_1_desire,83-5,agent_1,"{'High': 'Water', 'Medium': 'Not Given', 'Low': 'Not Given'}","{'high': 'water', 'medium': 'food', 'low': 'firewood'}","{""high"":""water"",""medium"":""food"",""low"":""firewood""}",0
83-5_agent_2_desire,83-5,agent_2,"{'High': 'Food', 'Medium': 'Not Given', 'Low': 'Not Given'}","{'high': 'food', 'medium': 'firewood', 'low': 'water'}","{""high"":""food"",""medium"":""firewood"",""low"":""water""}",0
83-6_agent_1_desire,83-6,agent_1,"{'High': 'Water', 'Medium': 'Not Given', 'Low': 'Not Given'}","{'high': 'water', 'medium': 'food', 'low': 'firewood'}","{""high"":""water"",""medium"":""food"",""low"":""firewood""}",0
83-6_agent_2_desire,83-6,agent_2,"{'High': 'Food', 'Medium': 'Firewood', 'Low': 'Water'}","{'high': 'food', 'medium': 'firewood', 'low': 'water'}","{""high"":""food"",""medium"":""firewood"",""low"":""water""}",1
83-7_agent_1_desire,83-7,agent_1,"{'High': 'Water', 'Medium': 'Not Given', 'Low': 'Not Given'}","{'high': 'water', 'medium': 'firewood', 'low': 'food'}","{""high"":""water"",""medium"":""firewood"",""low"":""food""}",0
83-7_agent_2_desire,83-7,agent_2,"{'High': 'Food', 'Medium': 'Firewood', 'Low': 'Water'}","{'high': 'Firewood', 'medium': 'Food', 'low': 'Water'}","{""high"":""Firewood"",""medium"":""Food"",""low"":""Water""}",0
83-8_agent_1_desire,83-8,agent_1,"{'High': 'Water', 'Medium': 'Firewood', 'Low': 'Food'}","{'high': 'water', 'medium': 'firewood', 'low': 'food'}","{""high"":""water"",""medium"":""firewood"",""low"":""food""}",1
83-8_agent_2_desire,83-8,agent_2,"{'High': 'Food', 'Medium': 'Firewood', 'Low': 'Water'}","{'high': 'food', 'medium': 'firewood', 'low': 'water'}","{""high"":""food"",""medium"":""firewood"",""low"":""water""}",1
83-9_agent_1_desire,83-9,agent_1,"{'High': 'Water', 'Medium': 'Firewood', 'Low': 'Food'}","{'high': 'water', 'medium': 'firewood', 'low': 'food'}","{""high"":""water"",""medium"":""firewood"",""low"":""food""}",1
83-9_agent_2_desire,83-9,agent_2,"{'High': 'Food', 'Medium': 'Firewood', 'Low': 'Water'}","{'high': 'Food', 'medium': 'Firewood', 'low': 'Water'}","{""high"":""Food"",""medium"":""Firewood"",""low"":""Water""}",1
83-10_agent_1_desire,83-10,agent_1,"{'High': 'Water', 'Medium': 'Firewood', 'Low': 'Food'}","{'high': 'water', 'medium': 'firewood', 'low': 'food'}","{""high"":""water"",""medium"":""firewood"",""low"":""food""}",1
83-10_agent_2_desire,83-10,agent_2,"{'High': 'None', 'Medium': 'None', 'Low': 'None'}","{'high': 'Food', 'medium': 'Firewood', 'low': 'Water'}","{""high"":""Food"",""medium"":""Firewood"",""low"":""Water""}",0
84-0_agent_1_desire,84-0,agent_1,"{'High': 'Water', 'Medium': 'Firewood', 'Low': 'Food'}","{'high': 'Water', 'medium': 'Not Given', 'low': 'Not Given'}","{""high"":""Water"",""medium"":""Not Given"",""low"":""Not Given""}",0
84-0_agent_2_desire,84-0,agent_2,"{'High': 'Food', 'Medium': 'Firewood', 'Low': 'Water'}","{'high': 'Water', 'medium': 'Not Given', 'low': 'Not Given'}","{""high"":""Water"",""medium"":""Not Given"",""low"":""Not Given""}",0
84-1_agent_1_desire,84-1,agent_1,"{'High': 'Water', 'Medium': 'Not Given', 'Low': 'Not Given'}","{'high': 'Water', 'medium': 'Food', 'low': 'Firewood'}","{""high"":""Water"",""medium"":""Food"",""low"":""Firewood""}",0
84-1_agent_2_desire,84-1,agent_2,"{'High': 'Water', 'Medium': 'Not Given', 'Low': 'Not Given'}","{'high': 'Water', 'medium': 'Not Given', 'low': 'Not Given'}","{""high"":""Water"",""medium"":""Not Given"",""low"":""Not Given""}",1
84-2_agent_1_desire,84-2,agent_1,"{'High': 'Water', 'Medium': 'Firewood', 'Low': 'Food'}","{'high': 'Water', 'medium': 'Firewood', 'low': 'Food'}","{""high"":""Water"",""medium"":""Firewood"",""low"":""Food""}",1
84-2_agent_2_desire,84-2,agent_2,"{'High': 'Water', 'Medium': 'Not Given', 'Low': 'Not Given'}","{'high': 'Water', 'medium': 'Firewood', 'low': 'Food'}","{""high"":""Water"",""medium"":""Firewood"",""low"":""Food""}",0
84-3_agent_1_desire,84-3,agent_1,"{'High': 'Water', 'Medium': 'Firewood', 'Low': 'Food'}","{'high': 'Water', 'medium': 'Firewood', 'low': 'Food'}","{""high"":""Water"",""medium"":""Firewood"",""low"":""Food""}",1
84-3_agent_2_desire,84-3,agent_2,"{'High': 'Water', 'Medium': 'Not Given', 'Low': 'Not Given'}","{'high': 'Water', 'medium': 'Firewood', 'low': 'Food'}","{""high"":""Water"",""medium"":""Firewood"",""low"":""Food""}",0
84-4_agent_1_desire,84-4,agent_1,"{'High': 'Water', 'Medium': 'Firewood', 'Low': 'Food'}","{'high': 'Water', 'medium': 'Firewood', 'low': 'Food'}","{""high"":""Water"",""medium"":""Firewood"",""low"":""Food""}",1
84-4_agent_2_desire,84-4,agent_2,"{'High': 'Water', 'Medium': 'Firewood', 'Low': 'Food'}","{'high': 'Water', 'medium': 'Firewood', 'low': 'Food'}","{""high"":""Water"",""medium"":""Firewood"",""low"":""Food""}",1
85-0_agent_1_desire,85-0,agent_1,"{'High': 'Water', 'Medium': 'Firewood', 'Low': 'Food'}","{'high': 'Water', 'medium': 'Food', 'low': 'Firewood'}","{""high"":""Water"",""medium"":""Food"",""low"":""Firewood""}",0
85-0_agent_2_desire,85-0,agent_2,"{'High': 'Water', 'Medium': 'Firewood', 'Low': 'Food'}","{'high': 'Firewood', 'medium': 'Water', 'low': 'Food'}","{""high"":""Firewood"",""medium"":""Water"",""low"":""Food""}",0
85-1_agent_1_desire,85-1,agent_1,"{'High': 'Water', 'Medium': 'Not Given', 'Low': 'Not Given'}","{'high': 'Water', 'medium': 'Food', 'low': 'Firewood'}","{""high"":""Water"",""medium"":""Food"",""low"":""Firewood""}",0
85-1_agent_2_desire,85-1,agent_2,"{'High': 'Firewood', 'Medium': 'Food', 'Low': 'Water'}","{'high': 'Firewood', 'medium': 'Water', 'low': 'Food'}","{""high"":""Firewood"",""medium"":""Water"",""low"":""Food""}",0
85-2_agent_1_desire,85-2,agent_1,"{'High': 'Water', 'Medium': 'Food', 'Low': 'Firewood'}","{'high': 'Water', 'medium': 'Food', 'low': 'Firewood'}","{""high"":""Water"",""medium"":""Food"",""low"":""Firewood""}",1
85-2_agent_2_desire,85-2,agent_2,"{'High': 'Firewood', 'Medium': 'Water', 'Low': 'Food'}","{'high': 'Firewood', 'medium': 'Water', 'low': 'Food'}","{""high"":""Firewood"",""medium"":""Water"",""low"":""Food""}",1
85-3_agent_1_desire,85-3,agent_1,"{'High': 'Water', 'Medium': 'Food', 'Low': 'Firewood'}","{'high': 'Firewood', 'medium': 'Water', 'low': 'Food'}","{""high"":""Firewood"",""medium"":""Water"",""low"":""Food""}",0
85-3_agent_2_desire,85-3,agent_2,"{'High': 'Firewood', 'Medium': 'Water', 'Low': 'Food'}","{'high': 'Firewood', 'medium': 'Water', 'low': 'Food'}","{""high"":""Firewood"",""medium"":""Water"",""low"":""Food""}",1
85-4_agent_1_desire,85-4,agent_1,"{'High': 'Water', 'Medium': 'Food', 'Low': 'Firewood'}","{'high': 'Firewood', 'medium': 'Water', 'low': 'Food'}","{""high"":""Firewood"",""medium"":""Water"",""low"":""Food""}",0
85-4_agent_2_desire,85-4,agent_2,"{'High': 'Firewood', 'Medium': 'Water', 'Low': 'Food'}","{'high': 'Firewood', 'medium': 'Water', 'low': 'Food'}","{""high"":""Firewood"",""medium"":""Water"",""low"":""Food""}",1
86-0_agent_1_desire,86-0,agent_1,"{'High': 'Water', 'Medium': 'Food', 'Low': 'Firewood'}","{'high': 'Food', 'medium': 'Not Given', 'low': 'Not Given'}","{""high"":""Food"",""medium"":""Not Given"",""low"":""Not Given""}",0
86-0_agent_2_desire,86-0,agent_2,"{'High': 'Firewood', 'Medium': 'Water', 'Low': 'Food'}","{'high': 'Firewood', 'medium': 'Not Given', 'low': 'Not Given'}","{""high"":""Firewood"",""medium"":""Not Given"",""low"":""Not Given""}",0
86-1_agent_1_desire,86-1,agent_1,"{'High': 'Food', 'Medium': 'Not Given', 'Low': 'Not Given'}","{'high': 'Food', 'medium': 'Firewood', 'low': 'Water'}","{""high"":""Food"",""medium"":""Firewood"",""low"":""Water""}",0
86-1_agent_2_desire,86-1,agent_2,"{'High': 'Firewood', 'Medium': 'Water', 'Low': 'Food'}","{'high': 'Firewood', 'medium': 'Not Given', 'low': 'Not Given'}","{""high"":""Firewood"",""medium"":""Not Given"",""low"":""Not Given""}",0
86-2_agent_1_desire,86-2,agent_1,"{'High': 'Food', 'Medium': 'Firewood', 'Low': 'Water'}","{'high': 'Food', 'medium': 'Firewood', 'low': 'Water'}","{""high"":""Food"",""medium"":""Firewood"",""low"":""Water""}",1
86-2_agent_2_desire,86-2,agent_2,"{'High': 'Firewood', 'Medium': 'Water', 'Low': 'Food'}","{'high': 'Food', 'medium': 'Not Given', 'low': 'Not Given'}","{""high"":""Food"",""medium"":""Not Given"",""low"":""Not Given""}",0
86-3_agent_1_desire,86-3,agent_1,"{'High': 'Food', 'Medium': 'Firewood', 'Low': 'Water'}","{'high': 'Food', 'medium': 'Firewood', 'low': 'Water'}","{""high"":""Food"",""medium"":""Firewood"",""low"":""Water""}",1
86-3_agent_2_desire,86-3,agent_2,"{'High': 'Firewood', 'Medium': 'Food', 'Low': 'Water'}","{'high': 'Food', 'medium': 'Firewood', 'low': 'Water'}","{""high"":""Food"",""medium"":""Firewood"",""low"":""Water""}",0
86-4_agent_1_desire,86-4,agent_1,"{'High': 'Food', 'Medium': 'Firewood', 'Low': 'Water'}","{'high': 'Food', 'medium': 'Water', 'low': 'Firewood'}","{""high"":""Food"",""medium"":""Water"",""low"":""Firewood""}",0
86-4_agent_2_desire,86-4,agent_2,"{'High': 'Firewood', 'Medium': 'Food', 'Low': 'Water'}","{'high': 'Food', 'medium': 'Firewood', 'low': 'Water'}","{""high"":""Food"",""medium"":""Firewood"",""low"":""Water""}",0
87-0_agent_1_desire,87-0,agent_1,"{'High': 'Food', 'Medium': 'Firewood', 'Low': 'Water'}","{'high': 'Not Given', 'medium': 'Not Given', 'low': 'Not Given'}","{""high"":""Not Given"",""medium"":""Not Given"",""low"":""Not Given""}",0
87-0_agent_2_desire,87-0,agent_2,"{'High': 'Firewood', 'Medium': 'Food', 'Low': 'Water'}","{'high': 'Not Given', 'medium': 'Not Given', 'low': 'Not Given'}","{""high"":""Not Given"",""medium"":""Not Given"",""low"":""Not Given""}",0
87-1_agent_1_desire,87-1,agent_1,"{'High': 'Not Given', 'Medium': 'Not Given', 'Low': 'Not Given'}","{'high': 'Food', 'medium': 'Not Given', 'low': 'Not Given'}","{""high"":""Food"",""medium"":""Not Given"",""low"":""Not Given""}",0
87-1_agent_2_desire,87-1,agent_2,"{'High': 'Not Given', 'Medium': 'Not Given', 'Low': 'Not Given'}","{'high': 'Food', 'medium': 'Not Given', 'low': 'Not Given'}","{""high"":""Food"",""medium"":""Not Given"",""low"":""Not Given""}",0
87-2_agent_1_desire,87-2,agent_1,"{'High': 'Food', 'Medium': 'Not Given', 'Low': 'Not Given'}","{'high': 'Food', 'medium': 'Not Given', 'low': 'Not Given'}","{""high"":""Food"",""medium"":""Not Given"",""low"":""Not Given""}",1
87-2_agent_2_desire,87-2,agent_2,"{'High': 'Food', 'Medium': 'Not Given', 'Low': 'Not Given'}","{'high': 'Food', 'medium': 'Not Given', 'low': 'Not Given'}","{""high"":""Food"",""medium"":""Not Given"",""low"":""Not Given""}",1
87-3_agent_1_desire,87-3,agent_1,"{'High': 'Food', 'Medium': 'Not Given', 'Low': 'Not Given'}","{'high': 'Food', 'medium': 'Not Given', 'low': 'Not Given'}","{""high"":""Food"",""medium"":""Not Given"",""low"":""Not Given""}",1
87-3_agent_2_desire,87-3,agent_2,"{'High': 'Food', 'Medium': 'Not Given', 'Low': 'Not Given'}","{'high': 'Food', 'medium': 'Not Given', 'low': 'Not Given'}","{""high"":""Food"",""medium"":""Not Given"",""low"":""Not Given""}",1
87-4_agent_1_desire,87-4,agent_1,"{'High': 'Food', 'Medium': 'Not Given', 'Low': 'Not Given'}","{'high': 'Food', 'medium': 'Not Given', 'low': 'Not Given'}","{""high"":""Food"",""medium"":""Not Given"",""low"":""Not Given""}",1
87-4_agent_2_desire,87-4,agent_2,"{'High': 'Food', 'Medium': 'Not Given', 'Low': 'Not Given'}","{'high': 'Food', 'medium': 'Not Given', 'low': 'Not Given'}","{""high"":""Food"",""medium"":""Not Given"",""low"":""Not Given""}",1
87-5_agent_1_desire,87-5,agent_1,"{'High': 'Food', 'Medium': 'Not Given', 'Low': 'Not Given'}","{'high': 'food', 'medium': 'water', 'low': 'firewood'}","{""high"":""food"",""medium"":""water"",""low"":""firewood""}",0
87-5_agent_2_desire,87-5,agent_2,"{'High': 'Food', 'Medium': 'Not Given', 'Low': 'Not Given'}","{'high': 'Food', 'medium': 'Not Given', 'low': 'Not Given'}","{""high"":""Food"",""medium"":""Not Given"",""low"":""Not Given""}",1
87-6_agent_1_desire,87-6,agent_1,"{'High': 'Food', 'Medium': 'Not Given', 'Low': 'Not Given'}","{'high': 'food', 'medium': 'water', 'low': 'firewood'}","{""high"":""food"",""medium"":""water"",""low"":""firewood""}",0
87-6_agent_2_desire,87-6,agent_2,"{'High': 'Food', 'Medium': 'Not Given', 'Low': 'Not Given'}","{'high': 'food', 'medium': 'Not Given', 'low': 'Not Given'}","{""high"":""food"",""medium"":""Not Given"",""low"":""Not Given""}",1
88-0_agent_1_desire,88-0,agent_1,"{'High': 'Food', 'Medium': 'Firewood', 'Low': 'Water'}","{'high': 'Not Given', 'medium': 'Not Given', 'low': 'Not Given'}","{""high"":""Not Given"",""medium"":""Not Given"",""low"":""Not Given""}",0
88-0_agent_2_desire,88-0,agent_2,"{'High': 'Food', 'Medium': 'Not Given', 'Low': 'Not Given'}","{'high': 'Not Given', 'medium': 'Not Given', 'low': 'Not Given'}","{""high"":""Not Given"",""medium"":""Not Given"",""low"":""Not Given""}",0
88-1_agent_1_desire,88-1,agent_1,"{'High': 'Not Given', 'Medium': 'Not Given', 'Low': 'Not Given'}","{'high': 'Not Given', 'medium': 'Not Given', 'low': 'Not Given'}","{""high"":""Not Given"",""medium"":""Not Given"",""low"":""Not Given""}",1
88-1_agent_2_desire,88-1,agent_2,"{'High': 'Not Given', 'Medium': 'Not Given', 'Low': 'Not Given'}","{'high': 'Water', 'medium': 'Food', 'low': 'Not Given'}","{""high"":""Water"",""medium"":""Food"",""low"":""Not Given""}",0
88-2_agent_1_desire,88-2,agent_1,"{'High': 'Not Given', 'Medium': 'Not Given', 'Low': 'Not Given'}","{'high': 'Not Given', 'medium': 'Not Given', 'low': 'Not Given'}","{""high"":""Not Given"",""medium"":""Not Given"",""low"":""Not Given""}",1
88-2_agent_2_desire,88-2,agent_2,"{'High': 'Not Given', 'Medium': 'Not Given', 'Low': 'Firewood'}","{'high': 'Water', 'medium': 'Food', 'low': 'Not Given'}","{""high"":""Water"",""medium"":""Food"",""low"":""Not Given""}",0
88-3_agent_1_desire,88-3,agent_1,"{'High': 'Not Given', 'Medium': 'Not Given', 'Low': 'Not Given'}","{'high': 'Water', 'medium': 'Food', 'low': 'Firewood'}","{""high"":""Water"",""medium"":""Food"",""low"":""Firewood""}",0
88-3_agent_2_desire,88-3,agent_2,"{'High': 'Not Given', 'Medium': 'Not Given', 'Low': 'Firewood'}","{'high': 'Water', 'medium': 'Food', 'low': 'Firewood'}","{""high"":""Water"",""medium"":""Food"",""low"":""Firewood""}",0
88-4_agent_1_desire,88-4,agent_1,"{'High': 'Not Given', 'Medium': 'Not Given', 'Low': 'Not Given'}","{'high': 'Water', 'medium': 'Food', 'low': 'Firewood'}","{""high"":""Water"",""medium"":""Food"",""low"":""Firewood""}",0
88-4_agent_2_desire,88-4,agent_2,"{'High': 'Not Given', 'Medium': 'Not Given', 'Low': 'Firewood'}","{'high': 'Water', 'medium': 'Food', 'low': 'Firewood'}","{""high"":""Water"",""medium"":""Food"",""low"":""Firewood""}",0
88-5_agent_1_desire,88-5,agent_1,"{'High': 'Not Given', 'Medium': 'Not Given', 'Low': 'Not Given'}","{'high': 'Water', 'medium': 'Food', 'low': 'Firewood'}","{""high"":""Water"",""medium"":""Food"",""low"":""Firewood""}",0
88-5_agent_2_desire,88-5,agent_2,"{'High': 'Water', 'Medium': 'Food', 'Low': 'Firewood'}","{'high': 'Water', 'medium': 'Food', 'low': 'Firewood'}","{""high"":""Water"",""medium"":""Food"",""low"":""Firewood""}",1
89-0_agent_1_desire,89-0,agent_1,"{'High': 'Not Given', 'Medium': 'Not Given', 'Low': 'Not Given'}","{'high': 'Not Given', 'medium': 'Not Given', 'low': 'Not Given'}","{""high"":""Not Given"",""medium"":""Not Given"",""low"":""Not Given""}",1
89-0_agent_2_desire,89-0,agent_2,"{'High': 'Water', 'Medium': 'Food', 'Low': 'Firewood'}","{'high': 'Not Given', 'medium': 'Not Given', 'low': 'Not Given'}","{""high"":""Not Given"",""medium"":""Not Given"",""low"":""Not Given""}",0
89-1_agent_1_desire,89-1,agent_1,"{'High': 'Not Given', 'Medium': 'Not Given', 'Low': 'Not Given'}","{'high': 'Not Given', 'medium': 'Not Given', 'low': 'Not Given'}","{""high"":""Not Given"",""medium"":""Not Given"",""low"":""Not Given""}",1
89-1_agent_2_desire,89-1,agent_2,"{'High': 'Not Given', 'Medium': 'Not Given', 'Low': 'Not Given'}","{'high': 'Not Given', 'medium': 'Not Given', 'low': 'Not Given'}","{""high"":""Not Given"",""medium"":""Not Given"",""low"":""Not Given""}",1
89-2_agent_1_desire,89-2,agent_1,"{'High': 'Not Given', 'Medium': 'Not Given', 'Low': 'Not Given'}","{'high': 'Not Given', 'medium': 'Not Given', 'low': 'Not Given'}","{""high"":""Not Given"",""medium"":""Not Given"",""low"":""Not Given""}",1
89-2_agent_2_desire,89-2,agent_2,"{'High': 'Not Given', 'Medium': 'Not Given', 'Low': 'Not Given'}","{'high': 'Not Given', 'medium': 'Not Given', 'low': 'Not Given'}","{""high"":""Not Given"",""medium"":""Not Given"",""low"":""Not Given""}",1
89-3_agent_1_desire,89-3,agent_1,"{'High': 'Not Given', 'Medium': 'Not Given', 'Low': 'Not Given'}","{'high': 'Food', 'medium': 'Water', 'low': 'Not Given'}","{""high"":""Food"",""medium"":""Water"",""low"":""Not Given""}",0
89-3_agent_2_desire,89-3,agent_2,"{'High': 'Not Given', 'Medium': 'Not Given', 'Low': 'Not Given'}","{'high': 'Firewood', 'medium': 'Not Given', 'low': 'Not Given'}","{""high"":""Firewood"",""medium"":""Not Given"",""low"":""Not Given""}",0
89-4_agent_1_desire,89-4,agent_1,"{'High': 'Not Given', 'Medium': 'Not Given', 'Low': 'Firewood'}","{'high': 'Food', 'medium': 'Water', 'low': 'Not Given'}","{""high"":""Food"",""medium"":""Water"",""low"":""Not Given""}",0
89-4_agent_2_desire,89-4,agent_2,"{'High': 'Firewood', 'Medium': 'Not Given', 'Low': 'Not Given'}","{'high': 'Firewood', 'medium': 'Not Given', 'low': 'Not Given'}","{""high"":""Firewood"",""medium"":""Not Given"",""low"":""Not Given""}",1
89-5_agent_1_desire,89-5,agent_1,"{'High': 'Not Given', 'Medium': 'Not Given', 'Low': 'Firewood'}","{'high': 'Water', 'medium': 'Food', 'low': 'Not Given'}","{""high"":""Water"",""medium"":""Food"",""low"":""Not Given""}",0
89-5_agent_2_desire,89-5,agent_2,"{'High': 'Firewood', 'Medium': 'Not Given', 'Low': 'Not Given'}","{'high': 'Firewood', 'medium': 'Not Given', 'low': 'Not Given'}","{""high"":""Firewood"",""medium"":""Not Given"",""low"":""Not Given""}",1
89-6_agent_1_desire,89-6,agent_1,"{'High': 'Water', 'Medium': 'Food', 'Low': 'Firewood'}","{'high': 'Food', 'medium': 'Water', 'low': 'Firewood'}","{""high"":""Food"",""medium"":""Water"",""low"":""Firewood""}",0
89-6_agent_2_desire,89-6,agent_2,"{'High': 'Firewood', 'Medium': 'Not Given', 'Low': 'Not Given'}","{'high': 'Firewood', 'medium': 'Not Given', 'low': 'Not Given'}","{""high"":""Firewood"",""medium"":""Not Given"",""low"":""Not Given""}",1
90-0_agent_1_desire,90-0,agent_1,"{'High': 'Water', 'Medium': 'Food', 'Low': 'Firewood'}","{'high': 'Not Given', 'medium': 'Not Given', 'low': 'Not Given'}","{""high"":""Not Given"",""medium"":""Not Given"",""low"":""Not Given""}",0
90-0_agent_2_desire,90-0,agent_2,"{'High': 'Firewood', 'Medium': 'Water', 'Low': 'Food'}","{'high': 'Not Given', 'medium': 'Not Given', 'low': 'Not Given'}","{""high"":""Not Given"",""medium"":""Not Given"",""low"":""Not Given""}",0
90-1_agent_1_desire,90-1,agent_1,"{'High': 'Not Given', 'Medium': 'Not Given', 'Low': 'Not Given'}","{'high': 'Not Given', 'medium': 'Not Given', 'low': 'Not Given'}","{""high"":""Not Given"",""medium"":""Not Given"",""low"":""Not Given""}",1
